#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:1-SR-MG:SUPER{S4:65}Fld:SP,65,V:1-SR,,,setpoint,S4,K,Sextupole
V:1-SR-MG:SUPER{S4:65}Fld:I,65,V:1-SR,,,readback,S4,K,Sextupole
V:1-SR-MG:SUPER{S4:68}Fld:SP,68,V:1-SR,,,setpoint,S4,K,Sextupole
V:1-SR-MG:SUPER{S4:68}Fld:I,68,V:1-SR,,,readback,S4,K,Sextupole
V:1-SR-BI:SUPER{BPM:70}SA:X,70,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:70}SA:Y,70,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS2:72}Fld:SP,72,V:1-SR,,,setpoint,QS2,K,Quadrupole
V:1-SR-MG:SUPER{QS2:72}Fld:I,72,V:1-SR,,,readback,QS2,K,Quadrupole
V:1-SR-MG:SUPER{S3:74}Fld:SP,74,V:1-SR,,,setpoint,S3,K,Sextupole
V:1-SR-MG:SUPER{S3:74}Fld:I,74,V:1-SR,,,readback,S3,K,Sextupole
V:1-SR-MG:SUPER{S3:77}Fld:SP,77,V:1-SR,,,setpoint,S3,K,Sextupole
V:1-SR-MG:SUPER{S3:77}Fld:I,77,V:1-SR,,,readback,S3,K,Sextupole
V:1-SR-MG:SUPER{QS1:79}Fld:SP,79,V:1-SR,,,setpoint,QS1,K,Quadrupole
V:1-SR-MG:SUPER{QS1:79}Fld:I,79,V:1-SR,,,readback,QS1,K,Quadrupole
V:1-SR-BI:SUPER{BPM:83}SA:X,83,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:83}SA:Y,83,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:86}SA:X,86,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:86}SA:Y,86,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS1:90}Fld:SP,90,V:1-SR,,,setpoint,QS1,K,Quadrupole
V:1-SR-MG:SUPER{QS1:90}Fld:I,90,V:1-SR,,,readback,QS1,K,Quadrupole
