
#   Readback of set point           ,     Properties          ,       Tag   
# BR MG 
BR:DS-PS{6A:CXW1}I-SP-1k      , elemHandle=get,   elemIndex= 90 , elemName= DSCXW1      ,  devName= DSCXW1     ,  elemLength= 0.15, elemPosition= 35.6379, elemType=HCOR ,  system=BR, elemField=x_1k,  aphla.sys.BR 
BR:DS-PS{6A:CXW2}I-SP-1k      , elemHandle=get,   elemIndex= 99 , elemName= DSCXW2      ,  devName= DSCXW2     ,  elemLength= 0.15, elemPosition= 43.7079, elemType=HCOR ,  system=BR, elemField=x_1k,  aphla.sys.BR 
BR:A2-PS{6A:CX1}I-SP-1k       , elemHandle=get,   elemIndex= 119, elemName= A2CX1       ,  devName= A2CX1      ,  elemLength= 0.15, elemPosition= 51.4654, elemType=HCOR ,  system=BR, elemField=x_1k,  aphla.sys.BR 
BR:A2-PS{6A:CX2}I-SP-1k       , elemHandle=get,   elemIndex= 155, elemName= A2CX2       ,  devName= A2CX2      ,  elemLength= 0.15, elemPosition= 67.4804, elemType=HCOR ,  system=BR, elemField=x_1k,  aphla.sys.BR 
BR:A2-PS{6A:CX3}I-SP-1k       , elemHandle=get,   elemIndex= 167, elemName= A2CX3       ,  devName= A2CX3      ,  elemLength= 0.15, elemPosition= 71.6239, elemType=HCOR ,  system=BR, elemField=x_1k,  aphla.sys.BR 
BR:XS-PS{6A:CXW1}I-SP-1k      , elemHandle=get,   elemIndex= 183, elemName= XSCXW1      ,  devName= XSCXW1     ,  elemLength= 0.15, elemPosition= 76.7608, elemType=HCOR ,  system=BR, elemField=x_1k,  aphla.sys.BR 
BR:XS-PS{6A:CXW2}I-SP-1k      , elemHandle=get,   elemIndex= 199, elemName= XSCXW2      ,  devName= XSCXW2     ,  elemLength= 0.15, elemPosition= 81.7808, elemType=HCOR ,  system=BR, elemField=x_1k,  aphla.sys.BR 
BR:A3-PS{6A:CX1}I-SP-1k       , elemHandle=get,   elemIndex= 215, elemName= A3CX1       ,  devName= A3CX1      ,  elemLength= 0.15, elemPosition= 86.9177, elemType=HCOR ,  system=BR, elemField=x_1k,  aphla.sys.BR 
BR:A3-PS{6A:CX2}I-SP-1k       , elemHandle=get,   elemIndex= 227, elemName= A3CX2       ,  devName= A3CX2      ,  elemLength= 0.15, elemPosition= 91.0612, elemType=HCOR ,  system=BR, elemField=x_1k,  aphla.sys.BR 
BR:A3-PS{6A:CX3}I-SP-1k       , elemHandle=get,   elemIndex= 263, elemName= A3CX3       ,  devName= A3CX3      ,  elemLength= 0.15, elemPosition= 107.076, elemType=HCOR ,  system=BR, elemField=x_1k,  aphla.sys.BR 
BR:CS-PS{6A:CXW1}I-SP-1k      , elemHandle=get,   elemIndex= 283, elemName= CSCXW1      ,  devName= CSCXW1     ,  elemLength= 0.15, elemPosition= 114.834, elemType=HCOR ,  system=BR, elemField=x_1k,  aphla.sys.BR 
BR:CS-PS{6A:CXW2}I-SP-1k      , elemHandle=get,   elemIndex= 293, elemName= CSCXW2      ,  devName= CSCXW2     ,  elemLength= 0.15, elemPosition= 122.904, elemType=HCOR ,  system=BR, elemField=x_1k,  aphla.sys.BR 
BR:A4-PS{6A:CX1}I-SP-1k       , elemHandle=get,   elemIndex= 313, elemName= A4CX1       ,  devName= A4CX1      ,  elemLength= 0.15, elemPosition= 130.661, elemType=HCOR ,  system=BR, elemField=x_1k,  aphla.sys.BR 
BR:A4-PS{6A:CX2}I-SP-1k       , elemHandle=get,   elemIndex= 349, elemName= A4CX2       ,  devName= A4CX2      ,  elemLength= 0.15, elemPosition= 146.676, elemType=HCOR ,  system=BR, elemField=x_1k,  aphla.sys.BR 
BR:A4-PS{6A:CX3}I-SP-1k       , elemHandle=get,   elemIndex= 361, elemName= A4CX3       ,  devName= A4CX3      ,  elemLength= 0.15, elemPosition= 150.82 , elemType=HCOR ,  system=BR, elemField=x_1k,  aphla.sys.BR 
BR:IS-PS{6A:CXW1}I-SP-1k      , elemHandle=get,   elemIndex= 373, elemName= ISCXW1      ,  devName= ISCXW1     ,  elemLength= 0.15, elemPosition= 154.682, elemType=HCOR ,  system=BR, elemField=x_1k,  aphla.sys.BR 


BR:A1-PS{6A:CY1}I-SP-1k        , elemHandle=get,   elemIndex= 18 , elemName= A1CY1     ,  devName= A1CY1      ,  elemLength= 0.15, elemPosition= 6.8919 , elemType=VCOR ,  system=BR, elemField=y_1k,  aphla.sys.BR 
BR:A1-PS{6A:CY2}I-SP-1k        , elemHandle=get,   elemIndex= 42 , elemName= A1CY2     ,  devName= A1CY2      ,  elemLength= 0.15, elemPosition= 15.3994, elemType=VCOR ,  system=BR, elemField=y_1k,  aphla.sys.BR 
BR:A1-PS{6A:CY3}I-SP-1k        , elemHandle=get,   elemIndex= 62 , elemName= A1CY3     ,  devName= A1CY3      ,  elemLength= 0.15, elemPosition= 24.3464, elemType=VCOR ,  system=BR, elemField=y_1k,  aphla.sys.BR 
BR:A1-PS{6A:CY4}I-SP-1k        , elemHandle=get,   elemIndex= 84 , elemName= A1CY4     ,  devName= A1CY4      ,  elemLength= 0.15, elemPosition= 32.8539, elemType=VCOR ,  system=BR, elemField=y_1k,  aphla.sys.BR 
BR:A2-PS{6A:CY1}I-SP-1k        , elemHandle=get,   elemIndex= 105, elemName= A2CY1     ,  devName= A2CY1      ,  elemLength= 0.15, elemPosition= 46.4919, elemType=VCOR ,  system=BR, elemField=y_1k,  aphla.sys.BR 
BR:A2-PS{6A:CY2}I-SP-1k        , elemHandle=get,   elemIndex= 127, elemName= A2CY2     ,  devName= A2CY2      ,  elemLength= 0.15, elemPosition= 54.9994, elemType=VCOR ,  system=BR, elemField=y_1k,  aphla.sys.BR 
