#   set point           ,     Properties          ,       Tag   
# BR MG 
BR:DS-PS{6A:CXW2}I-SP      , elemHandle=put,   elemIndex= 99 , elemName= DSCXW2      ,  devName= DSCXW2     ,  elemLength= 0.15, elemPosition= 43.7079, elemType=HCOR ,  system=BR, elemField=x,  aphla.sys.BR 
BR:A2-PS{6A:CX1}I-SP       , elemHandle=put,   elemIndex= 119, elemName= A2CX1       ,  devName= A2CX1      ,  elemLength= 0.15, elemPosition= 51.4654, elemType=HCOR ,  system=BR, elemField=x,  aphla.sys.BR 
BR:A2-PS{6A:CX2}I-SP       , elemHandle=put,   elemIndex= 155, elemName= A2CX2       ,  devName= A2CX2      ,  elemLength= 0.15, elemPosition= 67.4804, elemType=HCOR ,  system=BR, elemField=x,  aphla.sys.BR 
BR:A2-PS{6A:CX3}I-SP       , elemHandle=put,   elemIndex= 167, elemName= A2CX3       ,  devName= A2CX3      ,  elemLength= 0.15, elemPosition= 71.6239, elemType=HCOR ,  system=BR, elemField=x,  aphla.sys.BR 
BR:XS-PS{6A:CXW1}I-SP      , elemHandle=put,   elemIndex= 183, elemName= XSCXW1      ,  devName= XSCXW1     ,  elemLength= 0.15, elemPosition= 76.7608, elemType=HCOR ,  system=BR, elemField=x,  aphla.sys.BR 
BR:XS-PS{6A:CXW2}I-SP      , elemHandle=put,   elemIndex= 199, elemName= XSCXW2      ,  devName= XSCXW2     ,  elemLength= 0.15, elemPosition= 81.7808, elemType=HCOR ,  system=BR, elemField=x,  aphla.sys.BR 
BR:A3-PS{6A:CX1}I-SP       , elemHandle=put,   elemIndex= 215, elemName= A3CX1       ,  devName= A3CX1      ,  elemLength= 0.15, elemPosition= 86.9177, elemType=HCOR ,  system=BR, elemField=x,  aphla.sys.BR 
BR:A3-PS{6A:CX2}I-SP       , elemHandle=put,   elemIndex= 227, elemName= A3CX2       ,  devName= A3CX2      ,  elemLength= 0.15, elemPosition= 91.0612, elemType=HCOR ,  system=BR, elemField=x,  aphla.sys.BR 
BR:A3-PS{6A:CX3}I-SP       , elemHandle=put,   elemIndex= 263, elemName= A3CX3       ,  devName= A3CX3      ,  elemLength= 0.15, elemPosition= 107.076, elemType=HCOR ,  system=BR, elemField=x,  aphla.sys.BR 
BR:CS-PS{6A:CXW1}I-SP      , elemHandle=put,   elemIndex= 283, elemName= CSCXW1      ,  devName= CSCXW1     ,  elemLength= 0.15, elemPosition= 114.834, elemType=HCOR ,  system=BR, elemField=x,  aphla.sys.BR 
