tune 2.6172709137E+01 1.4280961435E+01
chrom 0.0000000000E+00 0.0000000000E+00
alphac 2.3870971049E-04
energy 3.0000000000E+00
# i      name           s         alphax    betax     nux          etax      etapx     alphay    betay     nuy       etay      etapy     xcod      ycod      dSx       dSy       dipx      dipy      tmatrix
#                      [m]                   [m]                   [m]                            [m]                [m]                 [m]        [m]      [m]       [m]       [rad]     [rad]            
#
   0           begin 0.000000 0.0001050132 9.8791326704 0.0000000000 0.1200759635 0.0001306291 0.0072642341 6.0422780290 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
  11 hc              6.780000 -6.1317240719 20.6729148176 0.0945162914 0.1450002997 0.0383856997 2.2968919495 9.0326778113 0.1365350345 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 1.1991044290 8.0019449421 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3166209233 2.9468519255 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.8062891802 5.5908097223 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.3069027005 -0.8878137265 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
  12 vc              6.780000 -6.1317240719 20.6729148176 0.0945162914 0.1450002997 0.0383856997 2.2968919495 9.0326778113 0.1365350345 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 1.1991044290 8.0019449421 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3166209233 2.9468519255 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.8062891802 5.5908097223 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.3069027005 -0.8878137265 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
  13 s1              6.905000 -6.3622617423 22.2338239175 0.0954437191 0.1497921977 0.0383676545 2.2090554264 8.4697426791 0.1388083857 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 1.2386820444 8.3703014328 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3166209233 2.9468519255 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.7679263426 5.4798330065 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.3069027005 -0.8878137265 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
  14 dl2b            7.030000 -6.5953289139 23.8526423879 0.0963071219 0.1545829567 0.0383676545 2.1223241920 7.9286145119 0.1412348678 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 1.2782596599 8.7386579235 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3166209233 2.9468519255 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.7295635050 5.3688562907 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.3069027005 -0.8878137265 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
  15 ql2             7.630000 11.0025281199 20.7115374269 0.1002789134 0.1415813023 -0.0800754142 -4.3080092716 9.0691524855 0.1533866585 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 1.1702704661 8.4345152010 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.6626468987 -3.9214057543 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.7057910879 6.0810113414 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.2246361822 3.3522882514 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
  16 dl3a            8.235000 7.4391279408 9.5603998192 0.1071199447 0.0931881712 -0.0800754142 -5.6120704023 15.0675385481 0.1616228936 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 0.7693690924 6.0620647196 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.6626468987 -3.9214057543 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.8416959781 8.1091457335 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.2246361822 3.3522882514 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
  17 bpm             8.235000 7.4391279408 9.5603998192 0.1071199447 0.0931881712 -0.0800754142 -5.6120704023 15.0675385481 0.1616228936 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 0.7693690924 6.0620647196 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.6626468987 -3.9214057543 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.8416959781 8.1091457335 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.2246361822 3.3522882514 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
  18 dl3b            8.330000 6.8795857639 8.2008613734 0.1088265804 0.0855892497 -0.0800754142 -5.8168403319 16.1526949204 0.1625915431 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 0.7064176370 5.6895311730 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.6626468987 -3.9214057543 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.8630364155 8.4276131174 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.2246361822 3.3522882514 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
  19 ql3             8.630000 3.3605607452 5.2359794323 0.1162427436 0.0657999354 -0.0531770282 0.1733444582 17.9081819995 0.1653474780 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 0.5423734273 4.8006404370 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.4407674985 -2.0575607519 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.8832264915 8.9661821417 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0912441319 0.2059364112 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
  20 dl4a            8.755000 3.0672380498 4.4329412979 0.1203702751 0.0591600100 -0.0531770282 0.1661585779 17.8657671867 0.1664591099 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 0.4872774900 4.5434453430 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.4407674985 -2.0575607519 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.8718209750 8.9919241931 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0912441319 0.2059364112 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
