V:1-SR-BI:SUPER{BPM:32}SA:X,elemHandle=get,elemName=bpm:32,elemIndex=3200,elemPosition=11.425,elemLength=0.0,id=16,elemField=x,aphla.sys.SR
V:1-SR-BI:SUPER{BPM:32}SA:Y,elemHandle=get,elemName=bpm:32,elemIndex=3200,elemPosition=11.425,elemLength=0.0,id=16,elemField=y,aphla.sys.SR
V:1-SR-MG:SUPER{SD:34}Fld:SP,elemHandle=put,elemName=sd:34,elemIndex=3400,elemPosition=11.73,elemLength=0.0,id=17,elemField=b2,aphla.sys.SR
V:1-SR-MG:SUPER{SD:34}Fld:I,elemHandle=get,elemName=sd:34,elemIndex=3400,elemPosition=11.73,elemLength=0.0,id=17,elemField=b2,aphla.sys.SR
V:1-SR-MG:SUPER{HC:35}Fld:SP,elemHandle=put,elemName=hc:35,elemIndex=3500,elemPosition=11.73,elemLength=0.0,id=18,elemField=x,aphla.sys.SR
V:1-SR-MG:SUPER{HC:35}Fld:I,elemHandle=get,elemName=hc:35,elemIndex=3500,elemPosition=11.73,elemLength=0.0,id=18,elemField=x,aphla.sys.SR
V:1-SR-MG:SUPER{VC:36}Fld:SP,elemHandle=put,elemName=vc:36,elemIndex=3600,elemPosition=11.73,elemLength=0.0,id=19,elemField=y,aphla.sys.SR
V:1-SR-MG:SUPER{VC:36}Fld:I,elemHandle=get,elemName=vc:36,elemIndex=3600,elemPosition=11.73,elemLength=0.0,id=19,elemField=y,aphla.sys.SR
V:1-SR-MG:SUPER{SD:37}Fld:SP,elemHandle=put,elemName=sd:37,elemIndex=3700,elemPosition=11.855,elemLength=0.0,id=20,elemField=b2,aphla.sys.SR
V:1-SR-MG:SUPER{SD:37}Fld:I,elemHandle=get,elemName=sd:37,elemIndex=3700,elemPosition=11.855,elemLength=0.0,id=20,elemField=b2,aphla.sys.SR
V:1-SR-MG:SUPER{QS5:39}Fld:SP,elemHandle=put,elemName=qs5:39,elemIndex=3900,elemPosition=12.58,elemLength=0.0,id=21,elemField=b1,aphla.sys.SR
V:1-SR-MG:SUPER{QS5:39}Fld:I,elemHandle=get,elemName=qs5:39,elemIndex=3900,elemPosition=12.58,elemLength=0.0,id=21,elemField=b1,aphla.sys.SR
V:1-SR-MG:SUPER{SF:41}Fld:SP,elemHandle=put,elemName=sf:41,elemIndex=4100,elemPosition=12.96,elemLength=0.0,id=22,elemField=b2,aphla.sys.SR
V:1-SR-MG:SUPER{SF:41}Fld:I,elemHandle=get,elemName=sf:41,elemIndex=4100,elemPosition=12.96,elemLength=0.0,id=22,elemField=b2,aphla.sys.SR
V:1-SR-MG:SUPER{HC:42}Fld:SP,elemHandle=put,elemName=hc:42,elemIndex=4200,elemPosition=12.96,elemLength=0.0,id=23,elemField=x,aphla.sys.SR
V:1-SR-MG:SUPER{HC:42}Fld:I,elemHandle=get,elemName=hc:42,elemIndex=4200,elemPosition=12.96,elemLength=0.0,id=23,elemField=x,aphla.sys.SR
V:1-SR-MG:SUPER{VC:43}Fld:SP,elemHandle=put,elemName=vc:43,elemIndex=4300,elemPosition=12.96,elemLength=0.0,id=24,elemField=y,aphla.sys.SR
V:1-SR-MG:SUPER{VC:43}Fld:I,elemHandle=get,elemName=vc:43,elemIndex=4300,elemPosition=12.96,elemLength=0.0,id=24,elemField=y,aphla.sys.SR
V:1-SR-MG:SUPER{SF:44}Fld:SP,elemHandle=put,elemName=sf:44,elemIndex=4400,elemPosition=13.085,elemLength=0.0,id=25,elemField=b2,aphla.sys.SR
V:1-SR-MG:SUPER{SF:44}Fld:I,elemHandle=get,elemName=sf:44,elemIndex=4400,elemPosition=13.085,elemLength=0.0,id=25,elemField=b2,aphla.sys.SR
V:1-SR-BI:SUPER{BPM:46}SA:X,elemHandle=get,elemName=bpm:46,elemIndex=4600,elemPosition=13.245,elemLength=0.0,id=26,elemField=x,aphla.sys.SR
V:1-SR-BI:SUPER{BPM:46}SA:Y,elemHandle=get,elemName=bpm:46,elemIndex=4600,elemPosition=13.245,elemLength=0.0,id=26,elemField=y,aphla.sys.SR
V:1-SR-MG:SUPER{QS5:48}Fld:SP,elemHandle=put,elemName=qs5:48,elemIndex=4800,elemPosition=13.64,elemLength=0.0,id=27,elemField=b1,aphla.sys.SR
V:1-SR-MG:SUPER{QS5:48}Fld:I,elemHandle=get,elemName=qs5:48,elemIndex=4800,elemPosition=13.64,elemLength=0.0,id=27,elemField=b1,aphla.sys.SR
V:1-SR-MG:SUPER{SD:50}Fld:SP,elemHandle=put,elemName=sd:50,elemIndex=5000,elemPosition=14.19,elemLength=0.0,id=28,elemField=b2,aphla.sys.SR
