#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:1-SR-MG:SUPER{QS5:568}Fld:SP,568,V:1-SR,,,setpoint,QS5,K,Quadrupole
V:1-SR-MG:SUPER{QS5:568}Fld:I,568,V:1-SR,,,readback,QS5,K,Quadrupole
V:1-SR-MG:SUPER{SD:570}Fld:SP,570,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:570}Fld:I,570,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-MG:SUPER{HC:571}Fld:SP,571,V:1-SR,,,setpoint,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{HC:571}Fld:I,571,V:1-SR,,,readback,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{VC:572}Fld:SP,572,V:1-SR,,,setpoint,VC,,Vertical Corrector
V:1-SR-MG:SUPER{VC:572}Fld:I,572,V:1-SR,,,readback,VC,,Vertical Corrector
V:1-SR-MG:SUPER{SD:573}Fld:SP,573,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:573}Fld:I,573,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-BI:SUPER{BPM:575}SA:X,575,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:575}SA:Y,575,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS4:577}Fld:SP,577,V:1-SR,,,setpoint,QS4,K,Quadrupole
V:1-SR-MG:SUPER{QS4:577}Fld:I,577,V:1-SR,,,readback,QS4,K,Quadrupole
V:1-SR-MG:SUPER{BEND:581}Fld:SP,581,V:1-SR,,,setpoint,BEND,T,Bending
V:1-SR-MG:SUPER{BEND:581}Fld:I,581,V:1-SR,,,readback,BEND,T,Bending
V:1-SR-MG:SUPER{QS3:583}Fld:SP,583,V:1-SR,,,setpoint,QS3,K,Quadrupole
V:1-SR-MG:SUPER{QS3:583}Fld:I,583,V:1-SR,,,readback,QS3,K,Quadrupole
V:1-SR-MG:SUPER{S6:585}Fld:SP,585,V:1-SR,,,setpoint,S6,K,Sextupole
V:1-SR-MG:SUPER{S6:585}Fld:I,585,V:1-SR,,,readback,S6,K,Sextupole
V:1-SR-MG:SUPER{HC:586}Fld:SP,586,V:1-SR,,,setpoint,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{HC:586}Fld:I,586,V:1-SR,,,readback,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{VC:587}Fld:SP,587,V:1-SR,,,setpoint,VC,,Vertical Corrector
V:1-SR-MG:SUPER{VC:587}Fld:I,587,V:1-SR,,,readback,VC,,Vertical Corrector
V:1-SR-MG:SUPER{S6:588}Fld:SP,588,V:1-SR,,,setpoint,S6,K,Sextupole
V:1-SR-MG:SUPER{S6:588}Fld:I,588,V:1-SR,,,readback,S6,K,Sextupole
V:1-SR-BI:SUPER{BPM:590}SA:X,590,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:590}SA:Y,590,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS2:592}Fld:SP,592,V:1-SR,,,setpoint,QS2,K,Quadrupole
V:1-SR-MG:SUPER{QS2:592}Fld:I,592,V:1-SR,,,readback,QS2,K,Quadrupole
V:1-SR-MG:SUPER{S5:594}Fld:SP,594,V:1-SR,,,setpoint,S5,K,Sextupole
V:1-SR-MG:SUPER{S5:594}Fld:I,594,V:1-SR,,,readback,S5,K,Sextupole
V:1-SR-MG:SUPER{HC:595}Fld:SP,595,V:1-SR,,,setpoint,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{HC:595}Fld:I,595,V:1-SR,,,readback,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{VC:596}Fld:SP,596,V:1-SR,,,setpoint,VC,,Vertical Corrector
V:1-SR-MG:SUPER{VC:596}Fld:I,596,V:1-SR,,,readback,VC,,Vertical Corrector
V:1-SR-MG:SUPER{S5:597}Fld:SP,597,V:1-SR,,,setpoint,S5,K,Sextupole
V:1-SR-MG:SUPER{S5:597}Fld:I,597,V:1-SR,,,readback,S5,K,Sextupole
V:1-SR-MG:SUPER{QS1:599}Fld:SP,599,V:1-SR,,,setpoint,QS1,K,Quadrupole
V:1-SR-MG:SUPER{QS1:599}Fld:I,599,V:1-SR,,,readback,QS1,K,Quadrupole
V:1-SR-BI:SUPER{BPM:603}SA:X,603,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:603}SA:Y,603,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:606}SA:X,606,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:606}SA:Y,606,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS1:610}Fld:SP,610,V:1-SR,,,setpoint,QS1,K,Quadrupole
V:1-SR-MG:SUPER{QS1:610}Fld:I,610,V:1-SR,,,readback,QS1,K,Quadrupole
V:1-SR-MG:SUPER{S3:612}Fld:SP,612,V:1-SR,,,setpoint,S3,K,Sextupole
V:1-SR-MG:SUPER{S3:612}Fld:I,612,V:1-SR,,,readback,S3,K,Sextupole
V:1-SR-MG:SUPER{HC:613}Fld:SP,613,V:1-SR,,,setpoint,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{HC:613}Fld:I,613,V:1-SR,,,readback,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{VC:614}Fld:SP,614,V:1-SR,,,setpoint,VC,,Vertical Corrector
V:1-SR-MG:SUPER{VC:614}Fld:I,614,V:1-SR,,,readback,VC,,Vertical Corrector
V:1-SR-MG:SUPER{S3:615}Fld:SP,615,V:1-SR,,,setpoint,S3,K,Sextupole
V:1-SR-MG:SUPER{S3:615}Fld:I,615,V:1-SR,,,readback,S3,K,Sextupole
V:1-SR-MG:SUPER{QS2:617}Fld:SP,617,V:1-SR,,,setpoint,QS2,K,Quadrupole
V:1-SR-MG:SUPER{QS2:617}Fld:I,617,V:1-SR,,,readback,QS2,K,Quadrupole
V:1-SR-BI:SUPER{BPM:619}SA:X,619,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:619}SA:Y,619,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{S4:621}Fld:SP,621,V:1-SR,,,setpoint,S4,K,Sextupole
V:1-SR-MG:SUPER{S4:621}Fld:I,621,V:1-SR,,,readback,S4,K,Sextupole
V:1-SR-MG:SUPER{HC:622}Fld:SP,622,V:1-SR,,,setpoint,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{HC:622}Fld:I,622,V:1-SR,,,readback,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{VC:623}Fld:SP,623,V:1-SR,,,setpoint,VC,,Vertical Corrector
V:1-SR-MG:SUPER{VC:623}Fld:I,623,V:1-SR,,,readback,VC,,Vertical Corrector
V:1-SR-MG:SUPER{S4:624}Fld:SP,624,V:1-SR,,,setpoint,S4,K,Sextupole
V:1-SR-MG:SUPER{S4:624}Fld:I,624,V:1-SR,,,readback,S4,K,Sextupole
V:1-SR-MG:SUPER{QS3:626}Fld:SP,626,V:1-SR,,,setpoint,QS3,K,Quadrupole
V:1-SR-MG:SUPER{QS3:626}Fld:I,626,V:1-SR,,,readback,QS3,K,Quadrupole
V:1-SR-MG:SUPER{BEND:628}Fld:SP,628,V:1-SR,,,setpoint,BEND,T,Bending
V:1-SR-MG:SUPER{BEND:628}Fld:I,628,V:1-SR,,,readback,BEND,T,Bending
V:1-SR-MG:SUPER{QS4:632}Fld:SP,632,V:1-SR,,,setpoint,QS4,K,Quadrupole
V:1-SR-MG:SUPER{QS4:632}Fld:I,632,V:1-SR,,,readback,QS4,K,Quadrupole
V:1-SR-BI:SUPER{BPM:634}SA:X,634,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:634}SA:Y,634,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{SD:636}Fld:SP,636,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:636}Fld:I,636,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-MG:SUPER{HC:637}Fld:SP,637,V:1-SR,,,setpoint,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{HC:637}Fld:I,637,V:1-SR,,,readback,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{VC:638}Fld:SP,638,V:1-SR,,,setpoint,VC,,Vertical Corrector
V:1-SR-MG:SUPER{VC:638}Fld:I,638,V:1-SR,,,readback,VC,,Vertical Corrector
V:1-SR-MG:SUPER{SD:639}Fld:SP,639,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:639}Fld:I,639,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-MG:SUPER{QS5:641}Fld:SP,641,V:1-SR,,,setpoint,QS5,K,Quadrupole
V:1-SR-MG:SUPER{QS5:641}Fld:I,641,V:1-SR,,,readback,QS5,K,Quadrupole
V:1-SR-MG:SUPER{SF:643}Fld:SP,643,V:1-SR,,,setpoint,SF,K,Sextupole
V:1-SR-MG:SUPER{SF:643}Fld:I,643,V:1-SR,,,readback,SF,K,Sextupole
V:1-SR-MG:SUPER{HC:644}Fld:SP,644,V:1-SR,,,setpoint,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{HC:644}Fld:I,644,V:1-SR,,,readback,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{VC:645}Fld:SP,645,V:1-SR,,,setpoint,VC,,Vertical Corrector
V:1-SR-MG:SUPER{VC:645}Fld:I,645,V:1-SR,,,readback,VC,,Vertical Corrector
V:1-SR-MG:SUPER{SF:646}Fld:SP,646,V:1-SR,,,setpoint,SF,K,Sextupole
V:1-SR-MG:SUPER{SF:646}Fld:I,646,V:1-SR,,,readback,SF,K,Sextupole
V:1-SR-BI:SUPER{BPM:648}SA:X,648,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:648}SA:Y,648,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
