#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:1-SR-BI:SUPER{BPM:4}SA:X,4,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:4}SA:Y,4,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QL1:8}Fld:SP,8,V:1-SR,,,setpoint,QL1,K,Quadrupole
V:1-SR-MG:SUPER{QL1:8}Fld:I,8,V:1-SR,,,readback,QL1,K,Quadrupole
V:1-SR-MG:SUPER{S1:10}Fld:SP,10,V:1-SR,,,setpoint,S1,K,Sextupole
V:1-SR-MG:SUPER{S1:10}Fld:I,10,V:1-SR,,,readback,S1,K,Sextupole
V:1-SR-MG:SUPER{HC:11}Fld:SP,11,V:1-SR,,,setpoint,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{HC:11}Fld:I,11,V:1-SR,,,readback,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{VC:12}Fld:SP,12,V:1-SR,,,setpoint,VC,,Vertical Corrector
V:1-SR-MG:SUPER{VC:12}Fld:I,12,V:1-SR,,,readback,VC,,Vertical Corrector
V:1-SR-MG:SUPER{S1:13}Fld:SP,13,V:1-SR,,,setpoint,S1,K,Sextupole
V:1-SR-MG:SUPER{S1:13}Fld:I,13,V:1-SR,,,readback,S1,K,Sextupole
V:1-SR-MG:SUPER{QL2:15}Fld:SP,15,V:1-SR,,,setpoint,QL2,K,Quadrupole
V:1-SR-MG:SUPER{QL2:15}Fld:I,15,V:1-SR,,,readback,QL2,K,Quadrupole
V:1-SR-BI:SUPER{BPM:17}SA:X,17,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:17}SA:Y,17,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QL3:19}Fld:SP,19,V:1-SR,,,setpoint,QL3,K,Quadrupole
V:1-SR-MG:SUPER{QL3:19}Fld:I,19,V:1-SR,,,readback,QL3,K,Quadrupole
V:1-SR-MG:SUPER{S2:21}Fld:SP,21,V:1-SR,,,setpoint,S2,K,Sextupole
V:1-SR-MG:SUPER{S2:21}Fld:I,21,V:1-SR,,,readback,S2,K,Sextupole
