Tune: 3.322128e+01 1.625978e+01
Chrom: 2.000000e+00 1.789887e+00 
Alpha_c: 3.627490e-04
 element        s            alphax         alphay         betax          betay            etax          etaxp           etay          etayp           phix           phiy     
     DH4BG2A   7.998500e+00   2.593262e+00   1.193618e+00   5.263364e+00   2.580569e+01   -1.105709e-04   6.453164e-05   0.000000e+00   0.000000e+00   4.463450e-01   1.181682e+00 
        DFCH   8.148500e+00   2.373108e+00   1.179524e+00   4.518408e+00   2.544972e+01   -1.008911e-04   6.453164e-05   0.000000e+00   0.000000e+00   4.771085e-01   1.187536e+00 
  CH2XG2C30A   8.148500e+00   2.373108e+00   1.179524e+00   4.518408e+00   2.544972e+01   -1.008911e-04   6.453164e-05   0.000000e+00   0.000000e+00   4.771085e-01   1.187536e+00 
  CH2YG2C30A   8.148500e+00   2.373108e+00   1.179524e+00   4.518408e+00   2.544972e+01   -1.008911e-04   6.453164e-05   0.000000e+00   0.000000e+00   4.771085e-01   1.187536e+00 
        DFCH   8.298500e+00   2.152954e+00   1.165430e+00   3.839499e+00   2.509798e+01   -9.121138e-05   6.453164e-05   0.000000e+00   0.000000e+00   5.131294e-01   1.193471e+00 
    GEG2C30A   8.298500e+00   2.152954e+00   1.165430e+00   3.839499e+00   2.509798e+01   -9.121138e-05   6.453164e-05   0.000000e+00   0.000000e+00   5.131294e-01   1.193471e+00 
     DH4CG3A   8.330000e+00   2.106722e+00   1.162470e+00   3.705319e+00   2.502465e+01   -8.917863e-05   6.453164e-05   0.000000e+00   0.000000e+00   5.214809e-01   1.194728e+00 
    GSG3C30A   8.330000e+00   2.106722e+00   1.162470e+00   3.705319e+00   2.502465e+01   -8.917863e-05   6.453164e-05   0.000000e+00   0.000000e+00   5.214809e-01   1.194728e+00 
   MK1G3C30A   8.330000e+00   2.106722e+00   1.162470e+00   3.705319e+00   2.502465e+01   -8.917863e-05   6.453164e-05   0.000000e+00   0.000000e+00   5.214809e-01   1.194728e+00 
    B1G3C30A   1.095000e+01  -1.731613e+00   9.961717e-01   2.724330e+00   1.933780e+01    1.371371e-01   1.048801e-01   0.000000e+00   0.000000e+00   2.696185e+00   1.314112e+00 
    GEG3C30A   1.095000e+01  -1.731613e+00   9.961717e-01   2.724330e+00   1.933780e+01    1.371371e-01   1.048801e-01   0.000000e+00   0.000000e+00   2.696185e+00   1.314112e+00 
    GSG4C30A   1.095000e+01  -1.731613e+00   9.961717e-01   2.724330e+00   1.933780e+01    1.371371e-01   1.048801e-01   0.000000e+00   0.000000e+00   2.696185e+00   1.314112e+00 
     DM1AG4A   1.145100e+01  -2.466928e+00   9.445541e-01   4.827799e+00   1.836549e+01    1.896821e-01   1.048801e-01   0.000000e+00   0.000000e+00   2.834773e+00   1.340699e+00 
        DSCH   1.155100e+01  -2.613697e+00   9.342512e-01   5.335862e+00   1.817761e+01    2.001701e-01   1.048801e-01   0.000000e+00   0.000000e+00   2.854477e+00   1.346173e+00 
  CM1XG4C30A   1.155100e+01  -2.613697e+00   9.342512e-01   5.335862e+00   1.817761e+01    2.001701e-01   1.048801e-01   0.000000e+00   0.000000e+00   2.854477e+00   1.346173e+00 
  CM1YG4C30A   1.155100e+01  -2.613697e+00   9.342512e-01   5.335862e+00   1.817761e+01    2.001701e-01   1.048801e-01   0.000000e+00   0.000000e+00   2.854477e+00   1.346173e+00 
        DSCH   1.165100e+01  -2.760467e+00   9.239482e-01   5.873278e+00   1.799179e+01    2.106581e-01   1.048801e-01   0.000000e+00   0.000000e+00   2.872341e+00   1.351702e+00 
     DM1BG4A   1.192650e+01  -3.164817e+00   8.955637e-01   7.505694e+00   1.749052e+01    2.395526e-01   1.048801e-01   0.000000e+00   0.000000e+00   2.913847e+00   1.367233e+00 
   QM1G4C30A   1.217350e+01  -5.414352e+00   4.177851e+00   9.590427e+00   1.621626e+01    2.716323e-01   1.559469e-01   0.000000e+00   0.000000e+00   2.943205e+00   1.381779e+00 
     DM2AG4A   1.237500e+01  -6.051291e+00   3.948540e+00   1.190075e+01   1.457880e+01    3.030556e-01   1.559469e-01   0.000000e+00   0.000000e+00   2.962067e+00   1.394885e+00 
   SM1G4C30A   1.257500e+01  -6.683488e+00   3.720936e+00   1.444771e+01   1.304490e+01    3.342450e-01   1.559469e-01   0.000000e+00   0.000000e+00   2.977320e+00   1.409388e+00 
        DFT1   1.280820e+01  -7.420631e+00   3.455550e+00   1.773679e+01   1.137135e+01    3.706118e-01   1.559469e-01   0.000000e+00   0.000000e+00   2.991889e+00   1.428536e+00 
         DFT   1.283020e+01  -7.490172e+00   3.430513e+00   1.806483e+01   1.121985e+01    3.740426e-01   1.559469e-01   0.000000e+00   0.000000e+00   2.993118e+00   1.430484e+00 
   FM1G4C30A   1.283020e+01  -7.490172e+00   3.430513e+00   1.806483e+01   1.121985e+01    3.740426e-01   1.559469e-01   0.000000e+00   0.000000e+00   2.993118e+00   1.430484e+00 
         DFT   1.285220e+01  -7.559714e+00   3.405477e+00   1.839593e+01   1.106946e+01    3.774734e-01   1.559469e-01   0.000000e+00   0.000000e+00   2.994324e+00   1.432458e+00 
     DM2BG4A   1.314460e+01  -8.483986e+00   3.072720e+00   2.308710e+01   9.175235e+00    4.230723e-01   1.559469e-01   0.000000e+00   0.000000e+00   3.008513e+00   1.461476e+00 
   PM1G4C30A   1.314460e+01  -8.483986e+00   3.072720e+00   2.308710e+01   9.175235e+00    4.230723e-01   1.559469e-01   0.000000e+00   0.000000e+00   3.008513e+00   1.461476e+00 
      DBPM03   1.322900e+01  -8.750774e+00   2.976671e+00   2.454172e+01   8.664667e+00    4.362342e-01   1.559469e-01   0.000000e+00   0.000000e+00   3.012059e+00   1.470942e+00 
   QM2G4C30A   1.351100e+01   1.140735e-02   3.947078e-02   2.708957e+01   7.840723e+00    4.584040e-01   5.619405e-06   0.000000e+00   0.000000e+00   3.022819e+00   1.505721e+00 
     DM2CG4A   1.369500e+01   4.614189e-03   1.596700e-02   2.708663e+01   7.830522e+00    4.584050e-01   5.619405e-06   0.000000e+00   0.000000e+00   3.029612e+00   1.529205e+00 
