#set point, Properties, Tag 
# missing pulse magnet : pulsed septum (22.9988, SP1SI, 124),kick3 (24.3886, BU3SI, 127), kick4 (26.5139, BU4SI, 133), BPM (25.7139, P2SI, 130)
LTB-BI{BPM:6}Pos:UsrYoffset-SP, elemHandle=put, elemIndex=121, elemName=P6, devName=P6, elemLength=0., elemPosition=21.6023, elemType=BPM, system=LTB, elemField=goldenY, aphla.sys.LTB 
#BR:IS-BI{BPM:2}Pos:UsrYoffset-SP, elemHandle=put, elemIndex=130, elemName=P2SI, devName=P2SI, elemLength=0., elemPosition=25.7139, elemType=BPM, system=LTB, elemField=goldenY, aphla.sys.LTB 

LTB-BI{VF:3}Pos-Sel,          elemHandle=put, elemIndex=73, elemName=VF3, devName=VF3, elemLength=0., elemPosition=12.8671, elemType=FLAG, system=LTB, elemField=position, aphla.sys.LTB 
LTB-BI{VF:3}cam1:Acquire,     elemHandle=put, elemIndex=73, elemName=VF3, devName=VF3, elemLength=0., elemPosition=12.8671, elemType=FLAG, system=LTB, elemField=acquire, aphla.sys.LTB 
LTB-BI{VF:3}TIFF1:WriteFile,  elemHandle=put, elemIndex=73, elemName=VF3, devName=VF3, elemLength=0., elemPosition=12.8671, elemType=FLAG, system=LTB, elemField=save, aphla.sys.LTB 
LTB-BI{VF:3}TIFF1:NumCapture, elemHandle=put, elemIndex=73, elemName=VF3, devName=VF3, elemLength=0., elemPosition=12.8671, elemType=FLAG, system=LTB, elemField=nCapture, aphla.sys.LTB 
 
LTB-BI{VF:4}Pos-Sel,          elemHandle=put, elemIndex=82, elemName=VF4, devName=VF4, elemLength=0., elemPosition=14.0974, elemType=FLAG, system=LTB, elemField=position, aphla.sys.LTB 
LTB-BI{VF:4}cam1:Acquire,     elemHandle=put, elemIndex=82, elemName=VF4, devName=VF4, elemLength=0., elemPosition=14.0974, elemType=FLAG, system=LTB, elemField=acquire, aphla.sys.LTB 
LTB-BI{VF:4}TIFF1:WriteFile,  elemHandle=put, elemIndex=82, elemName=VF4, devName=VF4, elemLength=0., elemPosition=14.0974, elemType=FLAG, system=LTB, elemField=save, aphla.sys.LTB 
LTB-BI{VF:4}TIFF1:NumCapture, elemHandle=put, elemIndex=82, elemName=VF4, devName=VF4, elemLength=0., elemPosition=14.0974, elemType=FLAG, system=LTB, elemField=nCapture, aphla.sys.LTB 
 
LTB-BI{VF:5}Pos-Sel,          elemHandle=put, elemIndex=112, elemName=VF5, devName=VF5, elemLength=0., elemPosition=20.0333, elemType=FLAG, system=LTB, elemField=position, aphla.sys.LTB 
LTB-BI{VF:5}cam1:Acquire,     elemHandle=put, elemIndex=112, elemName=VF5, devName=VF5, elemLength=0., elemPosition=20.0333, elemType=FLAG, system=LTB, elemField=acquire, aphla.sys.LTB 
LTB-BI{VF:5}TIFF1:WriteFile,  elemHandle=put, elemIndex=112, elemName=VF5, devName=VF5, elemLength=0., elemPosition=20.0333, elemType=FLAG, system=LTB, elemField=save, aphla.sys.LTB 
LTB-BI{VF:5}TIFF1:NumCapture, elemHandle=put, elemIndex=112, elemName=VF5, devName=VF5, elemLength=0., elemPosition=20.0333, elemType=FLAG, system=LTB, elemField=nCapture, aphla.sys.LTB 

# READBACK, Properties, Tag 
#LTB-MG{Bend:2}I:Ps1DCCT1-I, elemHandle=get, elemIndex=52, elemName=B2, devName=B2, elemLength=0.35, elemPosition=8.45413, elemType=BEND, system=LTB, elemField=bl, aphla.sys.LTB 
#LTB-MG{Bend:3}I:Ps1DCCT1-I, elemHandle=get, elemIndex=76, elemName=B3, devName=B3, elemLength=0.35, elemPosition=13.6886, elemType=BEND, system=LTB, elemField=bl, aphla.sys.LTB 
#LTB-MG{Bend:4}I:Ps1DCCT1-I, elemHandle=get, elemIndex=86, elemName=B4, devName=B4, elemLength=0.35, elemPosition=15.8376, elemType=BEND, system=LTB, elemField=bl, aphla.sys.LTB 

#LTB-MG{Bend:2}RpStart1-Cmd, elemHandle=get, elemIndex=52, elemName=B2, devName=B2, elemLength=0.35, elemPosition=8.45413, elemType=BEND, system=LTB, elemField=ramping, aphla.sys.LTB 
#LTB-MG{Bend:3}RpStart1-Cmd, elemHandle=get, elemIndex=76, elemName=B3, devName=B3, elemLength=0.35, elemPosition=13.6886, elemType=BEND, system=LTB, elemField=ramping, aphla.sys.LTB 
#LTB-MG{Bend:4}RpStart1-Cmd, elemHandle=get, elemIndex=86, elemName=B4, devName=B4, elemLength=0.35, elemPosition=15.8376, elemType=BEND, system=LTB, elemField=ramping, aphla.sys.LTB 

LTB-MG{Quad:7}I:Ps1DCCT1-I, elemHandle=get, elemIndex=55, elemName=Q7, devName=Q7, elemLength=0.15, elemPosition=9.4818, elemType=QUAD, system=LTB, elemField=b1, aphla.sys.LTB 
