604.3268,SR:C22-MG{PS:FL1A}I:Sp1-SP,fl1g1c23a
610.124,SR:C23-MG{PS:FL2A}I:Sp1-SP,fl2g1c23a
618.7471,SR:C23-MG{PS:FM1A}I:Sp1-SP,fm1g4c23a
629.3698,SR:C23-MG{PS:FH1A}I:Sp1-SP,fh1g1c24a
637.8727,SR:C24-MG{PS:FH2A}I:Sp1-SP,fh2g1c24a
646.3871,SR:C24-MG{PS:FM1A}I:Sp1-SP,fm1g4c24a
657.124,SR:C24-MG{PS:FL1A}I:Sp1-SP,fl1g1c25a
662.9212,SR:C25-MG{PS:FL2A}I:Sp1-SP,fl2g1c25a
671.5443,SR:C25-MG{PS:FM1A}I:Sp1-SP,fm1g4c25a
682.167,SR:C25-MG{PS:FH1A}I:Sp1-SP,fh1g1c26a
690.6699,SR:C26-MG{PS:FH2A}I:Sp1-SP,fh2g1c26a
699.1843,SR:C26-MG{PS:FM1A}I:Sp1-SP,fm1g4c26a
709.9212,SR:C26-MG{PS:FL1A}I:Sp1-SP,fl1g1c27a
715.7184,SR:C27-MG{PS:FL2A}I:Sp1-SP,fl2g1c27a
724.3415,SR:C27-MG{PS:FM1A}I:Sp1-SP,fm1g4c27a
734.9642,SR:C27-MG{PS:FH1A}I:Sp1-SP,fh1g1c28a
743.4671,SR:C28-MG{PS:FH2A}I:Sp1-SP,fh2g1c28a
751.9815,SR:C28-MG{PS:FM1A}I:Sp1-SP,fm1g4c28a
762.7184,SR:C28-MG{PS:FL1A}I:Sp1-SP,fl1g1c29a
768.5156,SR:C29-MG{PS:FL2A}I:Sp1-SP,fl2g1c29a
777.1387,SR:C29-MG{PS:FM1A}I:Sp1-SP,fm1g4c29a
787.7614,SR:C29-MG{PS:FH1A}I:Sp1-SP,fh1g1c30a
