# 2011-04-13T18:38:43
SR:C01-BI:G02A{BPM:L2}GOLDEN:Y; HANDLE=SETPOINT, CELL=C01, DEV_NAME=PL2G2C01A, ELEM_NAME=PL2G2C01A, ELEM_TYPE=BPMY, GIRDER=G2, LENGTH=0.0, ORDINAL=138, S_POSITION=32.5523, SYMMETRY=A,; ~tags=HLA.OFFSET HLA.EPUT HLA.Y
SR:C01-BI:G02A{BPM:L2}SA:X-I; HANDLE=READBACK, CELL=C01, DEV_NAME=PL2G2C01A, ELEM_NAME=PL2G2C01A, ELEM_TYPE=BPMX, GIRDER=G2, LENGTH=0.0, ORDINAL=138, S_POSITION=32.5523, SYMMETRY=A,; ~tags= HLA.EGET HLA.X
SR:C01-BI:G02A{BPM:L2}SA:Y-I; HANDLE=READBACK, CELL=C01, DEV_NAME=PL2G2C01A, ELEM_NAME=PL2G2C01A, ELEM_TYPE=BPMY, GIRDER=G2, LENGTH=0.0, ORDINAL=138, S_POSITION=32.5523, SYMMETRY=A,; ~tags= HLA.EGET HLA.Y
SR:C01-BI:G04A{BPM:M1}BBA:X; HANDLE=READBACK, CELL=C01, DEV_NAME=PM1G4C01A, ELEM_NAME=PM1G4C01A, ELEM_TYPE=BPMX, GIRDER=G4, LENGTH=0.0, ORDINAL=161, S_POSITION=38.3018, SYMMETRY=A,; ~tags= HLA.X
SR:C01-BI:G04A{BPM:M1}BBA:Y; HANDLE=READBACK, CELL=C01, DEV_NAME=PM1G4C01A, ELEM_NAME=PM1G4C01A, ELEM_TYPE=BPMY, GIRDER=G4, LENGTH=0.0, ORDINAL=161, S_POSITION=38.3018, SYMMETRY=A,; ~tags= HLA.Y
SR:C01-BI:G04A{BPM:M1}GOLDEN:X; HANDLE=SETPOINT, CELL=C01, DEV_NAME=PM1G4C01A, ELEM_NAME=PM1G4C01A, ELEM_TYPE=BPMX, GIRDER=G4, LENGTH=0.0, ORDINAL=161, S_POSITION=38.3018, SYMMETRY=A,; ~tags=HLA.OFFSET HLA.EPUT HLA.X
SR:C01-BI:G04A{BPM:M1}GOLDEN:Y; HANDLE=SETPOINT, CELL=C01, DEV_NAME=PM1G4C01A, ELEM_NAME=PM1G4C01A, ELEM_TYPE=BPMY, GIRDER=G4, LENGTH=0.0, ORDINAL=161, S_POSITION=38.3018, SYMMETRY=A,; ~tags=HLA.OFFSET HLA.EPUT HLA.Y
SR:C01-BI:G04A{BPM:M1}SA:X-I; HANDLE=READBACK, CELL=C01, DEV_NAME=PM1G4C01A, ELEM_NAME=PM1G4C01A, ELEM_TYPE=BPMX, GIRDER=G4, LENGTH=0.0, ORDINAL=161, S_POSITION=38.3018, SYMMETRY=A,; ~tags= HLA.EGET HLA.X
SR:C01-BI:G04A{BPM:M1}SA:Y-I; HANDLE=READBACK, CELL=C01, DEV_NAME=PM1G4C01A, ELEM_NAME=PM1G4C01A, ELEM_TYPE=BPMY, GIRDER=G4, LENGTH=0.0, ORDINAL=161, S_POSITION=38.3018, SYMMETRY=A,; ~tags= HLA.EGET HLA.Y
SR:C01-BI:G04B{BPM:M1}BBA:X; HANDLE=READBACK, CELL=C01, DEV_NAME=PM1G4C01B, ELEM_NAME=PM1G4C01B, ELEM_TYPE=BPMX, GIRDER=G4, LENGTH=0.0, ORDINAL=171, S_POSITION=40.5345, SYMMETRY=B,; ~tags= HLA.X
