 ElementName  ElementType      L          s         K1         K2        Angle  
                               m          m        1/m2       1/m3        rad   
--------------------------------------------------------------------------------
 DPWG5B    ,  DRIF      ,   0.2    ,  16.49 ,   0       ,  0       ,   0        
 DM1CG5B   ,  DRIF      ,   0.2    ,  16.69 ,   0       ,  0       ,   0        
 B1G5C30B  ,  DIPOLE    ,   2.62   ,  19.31 ,   0       ,  0       ,   0.10472  
 GEG5C30B  ,  MARK      ,   0      ,  19.31 ,   0       ,  0       ,   0        
 DL4BG6B   ,  DRIF      ,   0.1878 ,  19.4978,   0       ,  0       ,   0        
 GSG6C30B  ,  MARK      ,   0      ,  19.4978,   0       ,  0       ,   0        
 CL2G6C30B ,  TRIMD     ,   0.3    ,  19.7978,   0       ,  0       ,   0        
 DL4AG6B   ,  DRIF      ,   0.1122 ,  19.91 ,   0       ,  0       ,   0        
 QL3G6C30B ,  QUAD      ,   0.25   ,  20.16 ,   -1.53095,  0       ,   0        
 DBPM      ,  DRIF      ,   0.0875 ,  20.2475,   0       ,  0       ,   0        
 PL2G6C30B ,  BPM       ,   0      ,  20.2475,   0       ,  0       ,   0        
 DL3BG6B   ,  DRIF      ,   0.0875 ,  20.335,   0       ,  0       ,   0        
 SL3G6C30B ,  SEXT      ,   0.2    ,  20.535,   0       ,  -27.559 ,   0        
 DL3AG6B   ,  DRIF      ,   0.6136 ,  21.1486,   0       ,  0       ,   0        
 QL2G6C30B ,  QUAD      ,   0.4    ,  21.5486,   2.00023 ,  0       ,   0        
 DL2CG6B   ,  DRIF      ,   0.25   ,  21.7986,   0       ,  0       ,   0        
 SL2G6C30B ,  SEXT      ,   0.2    ,  21.9986,   0       ,  34.9231 ,   0        
 DL2BG6B   ,  DRIF      ,   0.1375 ,  22.1361,   0       ,  0       ,   0        
 CL1G6C30B ,  TRIMD     ,   0.2    ,  22.3361,   0       ,  0       ,   0        
 DL2AG6B   ,  DRIF      ,   0.1375 ,  22.4736,   0       ,  0       ,   0        
 QL1G6C30B ,  QUAD      ,   0.25   ,  22.7236,   -1.78106,  0       ,   0        
 DL1AG6B   ,  DRIF      ,   0.0875 ,  22.8111,   0       ,  0       ,   0        
 PL1G6C30B ,  BPM       ,   0      ,  22.8111,   0       ,  0       ,   0        
 DBPM      ,  DRIF      ,   0.0875 ,  22.8986,   0       ,  0       ,   0        
 SL1G6C30B ,  SEXT      ,   0.2    ,  23.0986,   0       ,  -17.2411,   0        
 GEG6C30B  ,  MARK      ,   0      ,  23.0986,   0       ,  0       ,   0        
 GSG1C01B  ,  MARK      ,   0      ,  23.0986,   0       ,  0       ,   0        
 DL0G1B    ,  DRIF      ,   3.3    ,  26.3986,   0       ,  0       ,   0        
 DL0G1B    ,  DRIF      ,   3.3    ,  29.6986,   0       ,  0       ,   0        
 GEG1C01B  ,  MARK      ,   0      ,  29.6986,   0       ,  0       ,   0        
 GSG2C01B  ,  MARK      ,   0      ,  29.6986,   0       ,  0       ,   0        
 SL1G2C01B ,  SEXT      ,   0.2    ,  29.8986,   0       ,  -17.2411,   0        
 DL1AG2B   ,  DRIF      ,   0.0875 ,  29.9861,   0       ,  0       ,   0        
 PL1G2C01B ,  BPM       ,   0      ,  29.9861,   0       ,  0       ,   0        
 DBPM      ,  DRIF      ,   0.0875 ,  30.0736,   0       ,  0       ,   0        
 QL1G2C01B ,  QUAD      ,   0.25   ,  30.3236,   -1.78106,  0       ,   0        
 DL2AG2B   ,  DRIF      ,   0.1375 ,  30.4611,   0       ,  0       ,   0        
 CL1G2C01B ,  TRIMD     ,   0.2    ,  30.6611,   0       ,  0       ,   0        
 DL2BG2B   ,  DRIF      ,   0.1375 ,  30.7986,   0       ,  0       ,   0        
 SL2G2C01B ,  SEXT      ,   0.2    ,  30.9986,   0       ,  34.9231 ,   0        
