#   read back           ;             Properties          ;              Tag   
LTB:MG{VCor:5}Fld-I;  HANDLE=readback, ORDINAL= 67  ,  ELEM_NAME=C5   , DEV_NAME=C5   ,LENGTH=0.15 , S_POSITION=11.21483  , ELEM_TYPE=VCOR , SYSTEM=LTB  ; HLA.EGET, HLA.Y
LTB:BI{BPM:3}SA:X-I;  HANDLE=readback, ORDINAL= 71  ,  ELEM_NAME=P3   , DEV_NAME=P3   ,LENGTH=0.16 , S_POSITION=11.43301  , ELEM_TYPE=BPMX , SYSTEM=LTB  ; HLA.EGET, HLA.X
LTB:BI{BPM:3}SA:Y-I;  HANDLE=readback, ORDINAL= 71  ,  ELEM_NAME=P3   , DEV_NAME=P3   ,LENGTH=0.16 , S_POSITION=11.43301  , ELEM_TYPE=BPMY , SYSTEM=LTB  ; HLA.EGET, HLA.Y
LTB:MG{Bend:3}Fld-I;  HANDLE=readback, ORDINAL= 79  ,  ELEM_NAME=B3   , DEV_NAME=B3   ,LENGTH=0.35 , S_POSITION=13.68857  , ELEM_TYPE=BEND , SYSTEM=LTB  ; HLA.EGET
LTB:BI{BPM:4}SA:X-I;  HANDLE=readback, ORDINAL= 82  ,  ELEM_NAME=P4   , DEV_NAME=P4   ,LENGTH=0.16 , S_POSITION=13.99277  , ELEM_TYPE=BPMX , SYSTEM=LTB  ; HLA.EGET, HLA.X
LTB:BI{BPM:4}SA:Y-I;  HANDLE=readback, ORDINAL= 82  ,  ELEM_NAME=P4   , DEV_NAME=P4   ,LENGTH=0.16 , S_POSITION=13.99277  , ELEM_TYPE=BPMY , SYSTEM=LTB  ; HLA.EGET, HLA.Y
LTB:MG{Quad:10}Fld-I;   HANDLE=readback, ORDINAL= 87  ,  ELEM_NAME=Q10 , DEV_NAME=Q10 ,  LENGTH=0.15 , S_POSITION=14.6631  , ELEM_TYPE=QUAD , SYSTEM=LTB  ; HLA.EGET
LTB:MG{Bend:4}Fld-I ;   HANDLE=readback, ORDINAL= 89  ,  ELEM_NAME=B4   , DEV_NAME=B4   ,LENGTH=0.35 , S_POSITION=15.83762  , ELEM_TYPE=BEND , SYSTEM=LTB  ; HLA.EGET
LTB:BI{BPM:5}SA:X-I;  HANDLE=readback, ORDINAL= 92  ,  ELEM_NAME=P5   , DEV_NAME=P5   ,LENGTH=0.16 , S_POSITION=16.14178  , ELEM_TYPE=BPMX , SYSTEM=LTB  ; HLA.EGET, HLA.X
LTB:BI{BPM:5}SA:Y-I;  HANDLE=readback, ORDINAL= 92  ,  ELEM_NAME=P5   , DEV_NAME=P5   ,LENGTH=0.16 , S_POSITION=16.14178  , ELEM_TYPE=BPMY , SYSTEM=LTB  ; HLA.EGET, HLA.Y
