# Author : Radia User
# This simulation we only use 14 PS   Tue 20 Jan 2015 06:17:23EPU57v2ModePara, 28_6,  Gap: 16, Phase:28_6non-compensated 2nd-order kick map
# Undulator Length [m]
3.5
# Number of Horizontal Points
61
# Number of Vertical Points
21
# Horizontal Kick [micro-rad]
START
0.0005	2.78306	4.36962	5.56324	6.2026	6.26517	5.84312	5.08132	4.12048	3.06587	1.98036	0.890883	-0.201124	-1.31066	-2.46279	-3.68884	-5.0241	-6.50602	-8.17153	-10.0516	-12.1624	-14.4918	-16.9809	-19.503	-21.8375	-23.6444	-24.4566	-23.7178	-20.9081	-15.7632	-8.51433	-2.9846e-06	8.51433	15.7632	20.9081	23.7178	24.4564	23.6444	21.8375	19.503	16.9809	14.4918	12.1625	10.0516	8.17154	6.50604	5.02412	3.68886	2.4628	1.31066	0.201133	-0.890877	-1.98035	-3.06586	-4.12046	-5.08132	-5.8431	-6.26521	-6.20257	-5.56326	-4.36965	-2.78312
0	2.94145	4.51388	5.68641	6.30314	6.3448	5.90461	5.12749	4.15393	3.08889	1.99487	0.898518	-0.199091	-1.31327	-2.46938	-3.69895	-5.0374	-6.52229	-8.19042	-10.0728	-12.1853	-14.5151	-17.0031	-19.5211	-21.8463	-23.6372	-24.4269	-23.6634	-20.8358	-15.6911	-8.46898	0	8.46898	15.6911	20.8358	23.6633	24.4269	23.6372	21.8463	19.521	17.003	14.5151	12.1853	10.0728	8.19042	6.52228	5.0374	3.69895	2.46938	1.31328	0.199098	-0.898512	-1.99486	-3.08887	-4.15393	-5.1275	-5.9046	-6.34478	-6.30313	-5.68641	-4.51391	-2.94139
-0.0005	2.78306	4.36965	5.56326	6.20265	6.26519	5.84312	5.08132	4.12048	3.06587	1.98036	0.890883	-0.201125	-1.31066	-2.46279	-3.68884	-5.0241	-6.50602	-8.17149	-10.0516	-12.1624	-14.4918	-16.981	-19.5031	-21.8375	-23.6444	-24.4564	-23.7178	-20.9081	-15.7632	-8.51433	3.08031e-06	8.51433	15.7632	20.9081	23.7178	24.4566	23.6444	21.8375	19.503	16.9809	14.4918	12.1625	10.0517	8.17149	6.50603	5.02411	3.68885	2.4628	1.31066	0.201133	-0.890877	-1.98035	-3.06586	-4.12046	-5.08132	-5.84313	-6.26521	-6.2026	-5.56326	-4.36965	-2.78312
-0.001	2.29979	3.93033	5.19016	5.90049	6.02795	5.66132	4.94556	4.02259	2.99885	1.93833	0.869038	-0.206497	-1.30232	-2.44271	-3.65835	-4.98415	-6.45736	-8.11508	-9.98879	-12.0952	-14.4231	-16.9162	-19.4516	-21.8142	-23.6696	-24.5509	-23.8893	-21.1364	-15.9889	-8.65732	6.44307e-06	8.65733	15.9889	21.1364	23.8892	24.5509	23.6696	21.8142	19.4516	16.9163	14.4231	12.0952	9.98873	8.11505	6.45736	4.98417	3.65836	2.44272	1.30233	0.206505	-0.869036	-1.93831	-2.99885	-4.02258	-4.94557	-5.66132	-6.02799	-5.90046	-5.19016	-3.93035	-2.29981
-0.0015	1.4657	3.17577	4.55656	5.39551	5.63838	5.36743	4.72899	3.86801	2.89389	1.87326	0.836145	-0.21303	-1.28682	-2.40816	-3.60687	-4.91729	-6.37657	-8.02211	-9.8862	-11.9867	-14.3139	-16.8152	-19.3742	-21.7858	-23.7256	-24.7275	-24.2028	-21.5508	-16.4	-8.91867	1.02167e-05	8.91897	16.4	21.5508	24.2024	24.7275	23.7256	21.7859	19.3741	16.8151	14.314	11.9867	9.88621	8.0221	6.37656	4.9173	3.60689	2.40819	1.2868	0.213038	-0.836155	-1.87324	-2.8939	-3.868	-4.72897	-5.36741	-5.63836	-5.3955	-4.55654	-3.17577	-1.4657
-0.002	0.233869	2.06985	3.64491	4.68753	5.10728	4.97709	4.44728	3.67012	2.76139	1.79256	0.797398	-0.217213	-1.26177	-2.35763	-3.53347	-4.8231	-6.26383	-7.89398	-9.74721	-11.8426	-14.1721	-16.6876	-19.2828	-21.7677	-23.8339	-25.018	-24.7027	-22.2096	-17.0567	-9.33807	1.46206e-05	9.33809	17.0571	22.2098	24.7025	25.0179	23.8338	21.7678	19.2828	16.6876	14.1721	11.8425	9.74712	7.89397	6.26384	4.82311	3.5335	2.35764	1.2618	0.217269	-0.797367	-1.79255	-2.76138	-3.67009	-4.4473	-4.97704	-5.10728	-4.68749	-3.64488	-2.06978	-0.233851
-0.0025	-1.46955	0.556667	2.43136	3.78083	4.45527	4.51616	4.12501	3.44875	2.61581	1.70641	0.759633	-0.214451	-1.22409	-2.28898	-3.43675	-4.70073	-6.1192	-7.73229	-9.57595	-11.6704	-14.0087	-16.5478	-19.1949	-21.7821	-24.025	-25.4691	-25.4589	-23.2063	-18.0589	-9.98391	1.98988e-05	9.98395	18.0589	23.2064	25.4587	25.469	24.0248	21.782	19.195	16.5479	14.0088	11.6704	9.57598	7.73232	6.11913	4.70074	3.43676	2.28905	1.2241	0.21443	-0.759655	-1.70643	-2.61581	-3.44869	-4.12503	-4.5162	-4.45524	-3.7808	-2.43137	-0.556682	1.46955
-0.003	-3.75781	-1.44544	0.887731	2.69078	3.71889	4.02536	3.79767	3.23088	2.47619	1.62748	0.731348	-0.199061	-1.17015	-2.19986	-3.31494	-4.54884	-5.94195	-7.5384	-9.37789	-11.4808	-13.839	-16.4146	-19.1324	-21.857	-24.3402	-26.1459	-26.574	-24.6853	-19.5692	-10.9712	-0.0002919	10.9712	19.5689	24.6856	26.5741	26.1462	24.3403	21.8567	19.1325	16.4145	13.8389	11.4807	9.37779	7.53834	5.94198	4.54892	3.31488	2.19979	1.17001	0.198998	-0.731411	-1.62761	-2.47611	-3.23094	-3.79742	-4.02531	-3.71888	-2.69083	-0.887726	1.44552	3.75784
-0.0035	-6.80262	-4.05501	-1.01302	1.45583	2.96062	3.56571	3.51425	3.05164	2.36504	1.5703	0.721765	-0.164876	-1.0955	-2.08739	-3.16589	-4.36543	-5.73025	-7.31216	-9.15798	-11.2863	-13.6821	-16.3108	-19.1222	-22.0255	-24.8302	-27.135	-28.1933	-26.865	-21.847	-12.4924	3.45399e-05	12.4931	21.847	26.8647	28.1936	27.1349	24.8301	22.0256	19.1222	16.3106	13.682	11.2864	9.15782	7.31224	5.73026	4.36545	3.16589	2.0874	1.09551	0.164886	-0.721925	-1.57021	-2.36503	-3.05173	-3.51434	-3.56576	-2.96069	-1.45585	1.01297	4.05505	6.80255
-0.004	-10.871	-7.44342	-3.28308	0.158621	2.28395	3.22715	3.34195	2.95417	2.30771	1.54963	0.740791	-0.105551	-0.996529	-1.94883	-2.98763	-4.14783	-5.48008	-7.05093	-8.92112	-11.1041	-13.5629	-16.2645	-19.1937	-22.3247	-25.5527	-28.5457	-30.5168	-30.0703	-25.3172	-14.8829	4.52939e-05	14.8834	25.3172	30.0701	30.5173	28.5454	25.5527	22.3247	19.1937	16.2645	13.563	11.1038	8.92123	7.05104	5.48011	4.14764	2.98754	1.94884	0.996442	0.105562	-0.74078	-1.54952	-2.3076	-2.95407	-3.34197	-3.22714	-2.28388	-0.15861	3.28309	7.44335	10.871
