PV,cell,devName,elemField,elemName,elemType,girder,handle,hostName,iocName,length,ordinal,sEnd,symmetry,system
V:1-SR:C30-MG:G4{CH:40}Fld:I,C30,,,ch_040,HCOR,G4,readback,,,,40,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
V:1-SR:C30-MG:G4{CV:41}Fld:SP,C30,,,cv_041,VCOR,G4,setpoint,,,,41,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C30-MG:G4{CV:41}Fld:I,C30,,,cv_041,VCOR,G4,readback,,,,41,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C30-MG:G4{QM1:44}Fld:SP,C30,,,qm1g4c30a,QUAD,G4,setpoint,,,,44,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G4{QM1:44}Fld:I,C30,,,qm1g4c30a,QUAD,G4,readback,,,,44,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G4{SM1:46}Fld:SP,C30,,,sm1g4c30a,SEXT,G4,setpoint,,,,46,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C30-MG:G4{SM1:46}Fld:I,C30,,,sm1g4c30a,SEXT,G4,readback,,,,46,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C30-BI:G4{BPM:51}SA:X,C30,,,p_bpm_051,BPM,G4,X,,,,51,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C30-BI:G4{BPM:51}SA:Y,C30,,,p_bpm_051,BPM,G4,Y,,,,51,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C30-MG:G4{QM2:53}Fld:SP,C30,,,qm2g4c30a,QUAD,G4,setpoint,,,,53,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G4{QM2:53}Fld:I,C30,,,qm2g4c30a,QUAD,G4,readback,,,,53,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G4{SM2H:55}Fld:SP,C30,,,sm2hg4c30b,SEXT,G4,setpoint,,,,55,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C30-MG:G4{SM2H:55}Fld:I,C30,,,sm2hg4c30b,SEXT,G4,readback,,,,55,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C30-MG:G4{SM2H:56}Fld:SP,C30,,,sm2hg4c30b,SEXT,G4,setpoint,,,,56,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C30-MG:G4{SM2H:56}Fld:I,C30,,,sm2hg4c30b,SEXT,G4,readback,,,,56,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C30-MG:G4{QM2:58}Fld:SP,C30,,,qm2g4c30b,QUAD,G4,setpoint,,,,58,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G4{QM2:58}Fld:I,C30,,,qm2g4c30b,QUAD,G4,readback,,,,58,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G4{SM1:60}Fld:SP,C30,,,sm1g4c30b,SEXT,G4,setpoint,,,,60,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C30-MG:G4{SM1:60}Fld:I,C30,,,sm1g4c30b,SEXT,G4,readback,,,,60,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C30-BI:G4{BPM:62}SA:X,C30,,,p_bpm_062,BPM,G4,X,,,,62,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C30-BI:G4{BPM:62}SA:Y,C30,,,p_bpm_062,BPM,G4,Y,,,,62,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C30-MG:G4{QM1:64}Fld:SP,C30,,,qm1g4c30b,QUAD,G4,setpoint,,,,64,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G4{QM1:64}Fld:I,C30,,,qm1g4c30b,QUAD,G4,readback,,,,64,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G4{CH:67}Fld:SP,C30,,,ch_067,HCOR,G4,setpoint,,,,67,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
