#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:2-SR:C30-MG:G4{SM1:48}Fld:I,48,V:2-SR,C30,G4,readback,SM1G4C30A,K,Sextupole
V:2-SR:C30-MG:G4{FXM1:51}Fld:SP,51,V:2-SR,C30,G4,setpoint,FXM1G4C30A,,Horizontal Corrector
V:2-SR:C30-MG:G4{FXM1:51}Fld:I,51,V:2-SR,C30,G4,readback,FXM1G4C30A,,Horizontal Corrector
V:2-SR:C30-MG:G4{FYM1:52}Fld:SP,52,V:2-SR,C30,G4,setpoint,FYM1G4C30A,,Vertical Corrector
V:2-SR:C30-MG:G4{FYM1:52}Fld:I,52,V:2-SR,C30,G4,readback,FYM1G4C30A,,Vertical Corrector
V:2-SR:C30-BI:G4{PM1:55}SA:X,55,V:2-SR,C30,G4,readback,PM1G4C30A,X,Beam Position Monitor
V:2-SR:C30-BI:G4{PM1:55}SA:Y,55,V:2-SR,C30,G4,readback,PM1G4C30A,Y,Beam Position Monitor
V:2-SR:C30-MG:G4{QM2:57}Fld:SP,57,V:2-SR,C30,G4,setpoint,QM2G4C30A,K,Quadrupole
V:2-SR:C30-MG:G4{QM2:57}Fld:I,57,V:2-SR,C30,G4,readback,QM2G4C30A,K,Quadrupole
V:2-SR:C30-MG:G4{SM2:59}Fld:SP,59,V:2-SR,C30,G4,setpoint,SM2G4C30B,K,Sextupole
V:2-SR:C30-MG:G4{SM2:59}Fld:I,59,V:2-SR,C30,G4,readback,SM2G4C30B,K,Sextupole
V:2-SR:C30-MG:G4{QM2:61}Fld:SP,61,V:2-SR,C30,G4,setpoint,QM2G4C30B,K,Quadrupole
V:2-SR:C30-MG:G4{QM2:61}Fld:I,61,V:2-SR,C30,G4,readback,QM2G4C30B,K,Quadrupole
V:2-SR:C30-MG:G4{SM1:63}Fld:SP,63,V:2-SR,C30,G4,setpoint,SM1G4C30B,K,Sextupole
V:2-SR:C30-MG:G4{SM1:63}Fld:I,63,V:2-SR,C30,G4,readback,SM1G4C30B,K,Sextupole
V:2-SR:C30-BI:G4{PM1:65}SA:X,65,V:2-SR,C30,G4,readback,PM1G4C30B,X,Beam Position Monitor
V:2-SR:C30-BI:G4{PM1:65}SA:Y,65,V:2-SR,C30,G4,readback,PM1G4C30B,Y,Beam Position Monitor
V:2-SR:C30-MG:G4{QM1:67}Fld:SP,67,V:2-SR,C30,G4,setpoint,QM1G4C30B,K,Quadrupole
V:2-SR:C30-MG:G4{QM1:67}Fld:I,67,V:2-SR,C30,G4,readback,QM1G4C30B,K,Quadrupole
V:2-SR:C30-MG:G4{CXM1:70}Fld:SP,70,V:2-SR,C30,G4,setpoint,CXM1G4C30B,,Horizontal Corrector
V:2-SR:C30-MG:G4{CXM1:70}Fld:I,70,V:2-SR,C30,G4,readback,CXM1G4C30B,,Horizontal Corrector
V:2-SR:C30-MG:G4{CYM1:71}Fld:SP,71,V:2-SR,C30,G4,setpoint,CYM1G4C30B,,Vertical Corrector
V:2-SR:C30-MG:G4{CYM1:71}Fld:I,71,V:2-SR,C30,G4,readback,CYM1G4C30B,,Vertical Corrector
V:2-SR:C30-MG:G5{B1:78}Fld:SP,78,V:2-SR,C30,G5,setpoint,B1G5C30B,T,Bending
V:2-SR:C30-MG:G5{B1:78}Fld:I,78,V:2-SR,C30,G5,readback,B1G5C30B,T,Bending
V:2-SR:C30-MG:G6{QL3:83}Fld:SP,83,V:2-SR,C30,G6,setpoint,QL3G6C30B,K,Quadrupole
V:2-SR:C30-MG:G6{QL3:83}Fld:I,83,V:2-SR,C30,G6,readback,QL3G6C30B,K,Quadrupole
V:2-SR:C30-BI:G6{PL2:85}SA:X,85,V:2-SR,C30,G6,readback,PL2G6C30B,X,Beam Position Monitor
V:2-SR:C30-BI:G6{PL2:85}SA:Y,85,V:2-SR,C30,G6,readback,PL2G6C30B,Y,Beam Position Monitor
V:2-SR:C30-MG:G6{SL3:87}Fld:SP,87,V:2-SR,C30,G6,setpoint,SL3G6C30B,K,Sextupole
V:2-SR:C30-MG:G6{SL3:87}Fld:I,87,V:2-SR,C30,G6,readback,SL3G6C30B,K,Sextupole
V:2-SR:C30-MG:G6{CXL2:90}Fld:SP,90,V:2-SR,C30,G6,setpoint,CXL2G6C30B,,Horizontal Corrector
V:2-SR:C30-MG:G6{CXL2:90}Fld:I,90,V:2-SR,C30,G6,readback,CXL2G6C30B,,Horizontal Corrector
V:2-SR:C30-MG:G6{CYL2:91}Fld:SP,91,V:2-SR,C30,G6,setpoint,CYL2G6C30B,,Vertical Corrector
V:2-SR:C30-MG:G6{CYL2:91}Fld:I,91,V:2-SR,C30,G6,readback,CYL2G6C30B,,Vertical Corrector
