 ElementName  ElementType     s       betax    alphax     betay    alphay      etax      etaxp     yAper     xAper  
                              m         m                   m                   m                    m         m    
--------------------------------------------------------------------------------------------------------------------
 DFT          DRIF         12.830200   18.887185  -7.837963  10.764314  3.302147  0.372935   0.155512  0.004691  0.022384 
 FM1G4C30A    MARK         12.830200   18.887185  -7.837963  10.764314  3.302147  0.372935   0.155512  0.004691  0.022384 
 DFT          DRIF         12.852200   19.233656  -7.910686  10.619555  3.277817  0.376356   0.155512  0.004659  0.022589 
 DM2BG4A      DRIF         13.144600   24.142447  -8.877246  8.797238  2.954454  0.421828   0.155512  0.004241  0.025313 
 PM1G4C30A    MONI         13.144600   24.142447  -8.877246  8.797238  2.954454  0.421828   0.155512  0.004241  0.025313 
 DBPM03       DRIF         13.228500   25.655318  -9.154587  8.309266  2.861670  0.434875   0.155512  0.004121  0.026095 
 QM2G4C30A    QUAD         13.511500   28.330864  0.010891  7.513570  0.041127  0.457058   -0.000023  0.003919  0.027424 
 DM2CG4A      DRIF         13.695000   28.328056  0.004414  7.502966  0.016664  0.457054   -0.000023  0.003916  0.027423 
 SM2HG4C30B   SEXT         13.820000   28.327504  0.000001  7.500883  -0.000001  0.457051   -0.000023  0.003916  0.027423 
 MK3G4C30B    MARK         13.820000   28.327504  0.000001  7.500883  -0.000001  0.457051   -0.000023  0.003916  0.027423 
 SM2HG4C30B   SEXT         13.945000   28.328055  -0.004412  7.502966  -0.016666  0.457048   -0.000023  0.003916  0.027423 
 DM2CG4B      DRIF         14.128500   28.330863  -0.010890  7.513572  -0.041130  0.457044   -0.000023  0.003919  0.027424 
 QM2G4C30B    QUAD         14.411500   25.655316  9.154588  8.309268  -2.861673  0.434849   -0.155551  0.004121  0.026094 
 DM2BG4B      DRIF         14.915000   17.274659  7.490213  11.471330  -3.418490  0.356529   -0.155551  0.004843  0.021403 
 SM1G4C30B    SEXT         15.115000   14.410798  6.829091  12.882962  -3.639669  0.325419   -0.155551  0.005132  0.019542 
 DM2AG4B      DRIF         15.377260   11.056164  5.962162  14.868105  -3.929701  0.284624   -0.155551  0.005513  0.017105 
 PM1G4C30B    MONI         15.377260   11.056164  5.962162  14.868105  -3.929701  0.284624   -0.155551  0.005513  0.017105 
 DBPM04       DRIF         15.465000   10.035372  5.672127  15.566203  -4.026732  0.270976   -0.155551  0.005641  0.016290 
 QM1G4C30B    QUAD         15.715000   7.825752  3.313744  16.812449  -0.874563  0.238591   -0.104607  0.005863  0.014365 
 DM1EG4B      DRIF         15.824000   7.121546  3.146870  17.004351  -0.886005  0.227189   -0.104607  0.005896  0.013691 
 DFCH         DRIF         15.974000   6.211931  2.917226  17.272514  -0.901751  0.211498   -0.104607  0.005942  0.012766 
 CM1YG4C30B   VKICK        15.974000   6.211931  2.917226  17.272514  -0.901751  0.211498   -0.104607  0.005942  0.012766 
