#   set point           ,     Properties          ,       Tag   
# missing pulse magnet : CSBEND22.1892SP1SI, CSBEND23.579BU3SI, CSBEND25.7042BU4SI
LTB-BI{BPM:3}Pos:UsrYoffset-SP     , elemHandle=set,   elemIndex= 71  , elemName= P3      ,  devName= P3   ,  elemLength= 0.16,  elemPosition= 10.9707, elemType=BPM  ,  system=LTB, elemField=goldenY,     aphla.sys.LTB 
LTB-BI{BPM:4}Pos:UsrYoffset-SP     , elemHandle=set,   elemIndex= 82  , elemName= P4      ,  devName= P4   ,  elemLength= 0.16,  elemPosition= 13.3044, elemType=BPM  ,  system=LTB, elemField=goldenY,     aphla.sys.LTB 
LTB-BI{BPM:5}Pos:UsrYoffset-SP     , elemHandle=set,   elemIndex= 92  , elemName= P5      ,  devName= P5   ,  elemLength= 0.16,  elemPosition= 15.3818, elemType=BPM  ,  system=LTB, elemField=goldenY,     aphla.sys.LTB 
LTB-BI{BPM:6}Pos:UsrYoffset-SP     , elemHandle=set,   elemIndex= 127  , elemName= P6      ,  devName= P6   ,  elemLength= 0.16,  elemPosition= 20.6107, elemType=BPM  ,  system=LTB, elemField=goldenY,     aphla.sys.LTB 
LTB-BI{BPM:2SI}Pos:UsrYoffset-SP   , elemHandle=set,   elemIndex= 136, elemName= P2SI   ,  devName= P2SI   ,  elemLength= 0.16,  elemPosition= 24.9492, elemType=BPM    ,  system=LTB, elemField=goldenY,       aphla.sys.LTB 

LTB-BI{VF:3}Pos-Sel                     , elemHandle=set,   elemIndex= 76 , elemName=  VF3    ,  devName= VF3           ,  elemLength= 0., elemPosition= 12.262  , elemType=FLAG ,  system=LTB, elemField=position,  aphla.sys.LTB 
LTB-BI{VF:3}cam1:Acquire                , elemHandle=set,   elemIndex= 76 , elemName=  VF3    ,  devName= VF3           ,  elemLength= 0., elemPosition= 12.262  , elemType=FLAG ,  system=LTB, elemField=acquire,  aphla.sys.LTB 
LTB-BI{VF:3}TIFF1:WriteFile             , elemHandle=set,   elemIndex= 76 , elemName=  VF3    ,  devName= VF3           ,  elemLength= 0., elemPosition= 12.262  , elemType=FLAG ,  system=LTB, elemField=save,  aphla.sys.LTB 
LTB-BI{VF:3}TIFF1:NumCapture            , elemHandle=set,   elemIndex= 76 , elemName=  VF3    ,  devName= VF3           ,  elemLength= 0., elemPosition= 12.262  , elemType=FLAG ,  system=LTB, elemField=nCapture,  aphla.sys.LTB 
                                                                                                             
LTB-BI{VF:4}Pos-Sel                     , elemHandle=set,   elemIndex= 85 , elemName=  VF4    ,  devName= VF4           ,  elemLength= 0., elemPosition= 13.4047, elemType=FLAG ,  system=LTB, elemField=position,  aphla.sys.LTB 
LTB-BI{VF:4}cam1:Acquire                , elemHandle=set,   elemIndex= 85 , elemName=  VF4    ,  devName= VF4           ,  elemLength= 0., elemPosition= 13.4047, elemType=FLAG ,  system=LTB, elemField=acquire,  aphla.sys.LTB 
LTB-BI{VF:4}TIFF1:WriteFile             , elemHandle=set,   elemIndex= 85 , elemName=  VF4    ,  devName= VF4           ,  elemLength= 0., elemPosition= 13.4047, elemType=FLAG ,  system=LTB, elemField=save,  aphla.sys.LTB 
LTB-BI{VF:4}TIFF1:NumCapture            , elemHandle=set,   elemIndex= 85 , elemName=  VF4    ,  devName= VF4           ,  elemLength= 0., elemPosition= 13.4047, elemType=FLAG ,  system=LTB, elemField=nCapture,  aphla.sys.LTB 
                                                                                                             
LTB-BI{VF:5}Pos-Sel                     , elemHandle=set,   elemIndex= 111, elemName=  VF5    ,  devName= VF5           ,  elemLength= 0., elemPosition= 19.243 , elemType=FLAG ,  system=LTB, elemField=position,  aphla.sys.LTB 
LTB-BI{VF:5}cam1:Acquire                , elemHandle=set,   elemIndex= 111, elemName=  VF5    ,  devName= VF5           ,  elemLength= 0., elemPosition= 19.243 , elemType=FLAG ,  system=LTB, elemField=acquire,  aphla.sys.LTB 
LTB-BI{VF:5}TIFF1:WriteFile             , elemHandle=set,   elemIndex= 111, elemName=  VF5    ,  devName= VF5           ,  elemLength= 0., elemPosition= 19.243 , elemType=FLAG ,  system=LTB, elemField=save,  aphla.sys.LTB 
LTB-BI{VF:5}TIFF1:NumCapture            , elemHandle=set,   elemIndex= 111, elemName=  VF5    ,  devName= VF5           ,  elemLength= 0., elemPosition= 19.243 , elemType=FLAG ,  system=LTB, elemField=nCapture,  aphla.sys.LTB 

#  READBACK         ,     Properties          ,       Tag   

LTB-MG{Bend:2}I:Ps1DCCT1-I         , elemHandle=read,   elemIndex= 54, elemName= B2    ,  devName= B2   ,  elemLength= 0.35,  elemPosition= 8.28835 , elemType=BEND,  system=LTB, elemField=bend,  aphla.sys.LTB 
LTB-MG{Bend:3}I:Ps1DCCT1-I         , elemHandle=read,   elemIndex= 71, elemName= B3    ,  devName= B3   ,  elemLength= 0.35,  elemPosition= 13.0126 , elemType=BEND,  system=LTB, elemField=bend,  aphla.sys.LTB 
LTB-MG{Bend:4}I:Ps1DCCT1-I         , elemHandle=read,   elemIndex= 89, elemName= B4    ,  devName= B4   ,  elemLength= 0.35,  elemPosition= 15.0801 , elemType=BEND,  system=LTB, elemField=bend,  aphla.sys.LTB 

LTB-MG{Bend:2}DO:RampStart1-Cmd    , elemHandle=read,   elemIndex= 54, elemName= B2    ,  devName= B2   ,  elemLength= 0.35,  elemPosition= 8.28835 , elemType=BEND,  system=LTB, elemField=ramping,  aphla.sys.LTB 
LTB-MG{Bend:3}DO:RampStart1-Cmd    , elemHandle=read,   elemIndex= 71, elemName= B3    ,  devName= B3   ,  elemLength= 0.35,  elemPosition= 13.0126 , elemType=BEND,  system=LTB, elemField=ramping,  aphla.sys.LTB 
LTB-MG{Bend:4}DO:RampStart1-Cmd    , elemHandle=read,   elemIndex= 89, elemName= B4    ,  devName= B4   ,  elemLength= 0.35,  elemPosition= 15.0801 , elemType=BEND,  system=LTB, elemField=ramping,  aphla.sys.LTB 

LTB-MG{Quad:7}I:Ps1DCCT1-I          , elemHandle=read,   elemIndex= 57, elemName= Q7     ,  devName= Q7    ,  elemLength= 0.15,  elemPosition= 9.21371 , elemType=QUAD,  system=LTB, elemField=k1,  aphla.sys.LTB 
LTB-MG{Quad:8}I:Ps1DCCT1-I          , elemHandle=read,   elemIndex= 59, elemName= Q8    ,  devName= Q8    ,  elemLength= 0.15,  elemPosition= 9.71252  , elemType=QUAD,  system=LTB, elemField=k1,  aphla.sys.LTB 
LTB-MG{Quad:9}I:Ps1DCCT1-I          , elemHandle=read,   elemIndex= 63, elemName= Q9    ,  devName= Q9    ,  elemLength= 0.15,  elemPosition= 10.6046 , elemType=QUAD,  system=LTB, elemField=k1,  aphla.sys.LTB 
LTB-MG{Quad:10}I:Ps1DCCT1-I         , elemHandle=read,   elemIndex= 87, elemName= Q10    ,  devName= Q10   ,  elemLength= 0.15,  elemPosition= 13.9472 , elemType=QUAD,  system=LTB, elemField=k1,  aphla.sys.LTB 
LTB-MG{Quad:11}I:Ps1DCCT1-I         , elemHandle=read,   elemIndex= 100 , elemName= Q11   ,  devName= Q11   ,  elemLength= 0.15,  elemPosition= 15.9836  , elemType=QUAD,  system=LTB, elemField=k1,  aphla.sys.LTB 
LTB-MG{Quad:12}I:Ps1DCCT1-I         , elemHandle=read,   elemIndex= 102 , elemName= Q12   ,  devName= Q12   ,  elemLength= 0.15,  elemPosition= 16.8934 , elemType=QUAD,  system=LTB, elemField=k1,  aphla.sys.LTB 
