 ElementName  ElementType      L          s         K1         K2       Angle  
                               m          m        1/m2       1/m3       rad   
-------------------------------------------------------------------------------
 CL1G2C01A    TRIMD         0.2      30.6673     0         0          0        
 DL2BG2A      DRIF          0.13125  30.7986     0         0          0        
 SL2G2C01A    SEXT          0.2      30.9986     0         35.6779    0        
 DL2CG2A      DRIF          0.244    31.2426     0         0          0        
 QL2G2C01A    QUAD          0.46     31.7026     1.76477   0          0        
 DL3AG2A      DRIF          0.2021   31.9047     0         0          0        
 CL2G2C01A    TRIMD         0.2      32.1047     0         0          0        
 DL3BG2A      DRIF          0.1575   32.2622     0         0          0        
 SL3G2C01A    SEXT          0.2      32.4622     0         -29.4609   0        
 DL3CG2A      DRIF          0.09008  32.5523     0         0          0        
 PL2G2C01A    BPM           0        32.5523     0         0          0        
 DBPM08       DRIF          0.07592  32.6282     0         0          0        
 QL3G2C01A    QUAD          0.268    32.8962     -1.51868  0          0        
 DL4AG2A      DRIF          0.5727   33.4689     0         0          0        
 GEG2C01A     MARK          0        33.4689     0         0          0        
 DL4BG3A      DRIF          0.0183   33.4872     0         0          0        
 GSG3C01A     MARK          0        33.4872     0         0          0        
 B1G3C01A     DIPOLE        2.62     36.1072     0         0          0.10472  
 GEG3C01A     MARK          0        36.1072     0         0          0        
 GSG4C01A     MARK          0        36.1072     0         0          0        
 DM1AG4A      DRIF          0.501    36.6082     0         0          0        
 SQMG4C01A    SQ_TRIM       0.2      36.8082     0         0          0        
 DM1BG4A      DRIF          0.2755   37.0837     0         0          0        
 QM1G4C01A    QUAD          0.247    37.3307     -0.812235  0          0        
 DM2A2G4A     DRIF          0.2015   37.5322     0         0          0        
 SM1G4C01A    SEXT          0.2      37.7322     0         -23.6806   0        
 DFT1         DRIF          0.2332   37.9654     0         0          0        
 FM1G4C01A    FTRIM         0.044    38.0094     0         0          0        
 DM2B2G4A     DRIF          0.2924   38.3018     0         0          0        
 PM1G4C01A    BPM           0        38.3018     0         0          0        
 DBPM09       DRIF          0.0844   38.3862     0         0          0        
 QM2G4C01A    QUAD          0.282    38.6682     1.22615   0          0        
 DM2CG4A      DRIF          0.184    38.8522     0         0          0        
 SM2G4C01B    SEXT          0.25     39.1022     0         28.6432    0        
 DM2CG4B      DRIF          0.184    39.2862     0         0          0        
 QM2G4C01B    QUAD          0.282    39.5682     1.22615   0          0        
 DM2B2G4B     DRIF          0.504    40.0722     0         0          0        
 SM1G4C01B    SEXT          0.2      40.2722     0         -25.946    0        
 DM2A2G4B     DRIF          0.26226  40.5345     0         0          0        
 PM1G4C01B    BPM           0        40.5345     0         0          0        
 DBPM10       DRIF          0.08924  40.6237     0         0          0        
 QM1G4C01B    QUAD          0.247    40.8707     -0.812235  0          0        
 DM1EG4B      DRIF          0.1105   40.9812     0         0          0        
 CM1G4C01B    TRIMD         0.3      41.2812     0         0          0        
 GEG4C01B     MARK          0        41.2812     0         0          0        
 GSG5C01B     MARK          0        41.2812     0         0          0        
 DM1DG5B2     DRIF          0.1      41.3812     0         0          0        
 DPWG5B       DRIF          0.2      41.5812     0         0          0        
 DM1CG5B2     DRIF          0.266    41.8472     0         0          0        
 B1G5C01B     DIPOLE        2.62     44.4672     0         0          0.10472  
 GEG5C01B     MARK          0        44.4672     0         0          0        
 DH4CG6B      DRIF          0.21634  44.6835     0         0          0        
 GSG6C01B     MARK          0        44.6835     0         0          0        
 CH2G6C01B    TRIMD         0.3      44.9835     0         0          0        
 DH4BG6B      DRIF          0.06366  45.0472     0         0          0        
 SH4G6C01B    SEXT          0.2      45.2472     0         -15.8209   0        
 DH4AG6B      DRIF          0.0896   45.3368     0         0          0        
 PH2G6C01B    BPM           0        45.3368     0         0          0        
 DBPM11       DRIF          0.0764   45.4132     0         0          0        
 QH3G6C01B    QUAD          0.268    45.6812     -1.75355  0          0        
 DH3BG6B      DRIF          0.186    45.8672     0         0          0        
 SH3G6C01B    SEXT          0.2      46.0672     0         -5.85511   0        
 DH3AG6B      DRIF          0.184    46.2512     0         0          0        
 QH2G6C01B    QUAD          0.46     46.7112     1.43673   0          0        
 DH2BG6B      DRIF          0.4785   47.1897     0         0          0        
 CH1G6C01B    TRIMD         0.2      47.3897     0         0          0        
 DH2AG6B      DRIF          0.1235   47.5132     0         0          0        
 QH1G6C01B    QUAD          0.268    47.7812     -0.641957  0          0        
 DH1AG6B      DRIF          0.08059  47.8618     0         0          0        
 PH1G6C01B    BPM           0        47.8618     0         0          0        
 DBPM12       DRIF          0.08541  47.9472     0         0          0        
 SH1G6C01B    SEXT          0.2      48.1472     0         19.8329    0        
 GEG6C01B     MARK          0        48.1472     0         0          0        
 GSG1C02A     MARK          0        48.1472     0         0          0        
 DH2G1A       DRIF          0.4409   48.5881     0         0          0        
 FH1G1C02A    FTRIM         0.044    48.6321     0         0          0        
 DH01G1A      DRIF          4.1651   52.7972     0         0          0        
 DH02G1A      DRIF          4.29379  57.091      0         0          0        
 FH2G1C02A    FTRIM         0.044    57.135      0         0          0        
 DH1G1A       DRIF          0.31221  57.4472     0         0          0        
 GEG1C02A     MARK          0        57.4472     0         0          0        
 GSG2C02A     MARK          0        57.4472     0         0          0        
 SH1G2C02A    SEXT          0.2      57.6472     0         19.8329    0        
 DH1AG2A      DRIF          0.085    57.7322     0         0          0        
 PH1G2C02A    BPM           0        57.7322     0         0          0        
 DBPM01       DRIF          0.081    57.8132     0         0          0        
 QH1G2C02A    QUAD          0.268    58.0812     -0.641957  0          0        
 DH2AG2A      DRIF          0.1485   58.2297     0         0          0        
 SQHG2C02A    SQ_TRIM       0.2      58.4297     0         0          0        
 DH2BG2A      DRIF          0.4535   58.8832     0         0          0        
 QH2G2C02A    QUAD          0.46     59.3432     1.43673   0          0        
 DH3AG2A      DRIF          0.184    59.5272     0         0          0        
 SH3G2C02A    SEXT          0.2      59.7272     0         -5.85511   0        
 DH3BG2A      DRIF          0.186    59.9132     0         0          0        
 QH3G2C02A    QUAD          0.268    60.1812     -1.75355  0          0        
 DH4AG2A      DRIF          0.07602  60.2572     0         0          0        
 PH2G2C02A    BPM           0        60.2572     0         0          0        
 DBPM02       DRIF          0.08998  60.3472     0         0          0        
 SH4G2C02A    SEXT          0.2      60.5472     0         -15.8209   0        
 DH4BG2A      DRIF          0.2485   60.7957     0         0          0        
 CH2G2C02A    TRIMD         0.3      61.0957     0         0          0        
 GEG2C02A     MARK          0        61.0957     0         0          0        
 DH4CG3A      DRIF          0.0315   61.1272     0         0          0        
 GSG3C02A     MARK          0        61.1272     0         0          0        
 B1G3C02A     DIPOLE        2.62     63.7472     0         0          0.10472  
 GEG3C02A     MARK          0        63.7472     0         0          0        
 GSG4C02A     MARK          0        63.7472     0         0          0        
 DM1AG4A      DRIF          0.501    64.2482     0         0          0        
 CM1G4C02A    TRIMD         0.2      64.4482     0         0          0        
 DM1BG4A      DRIF          0.2755   64.7237     0         0          0        
 QM1G4C02A    QUAD          0.247    64.9707     -0.812235  0          0        
 DM2AG4A      DRIF          0.2015   65.1722     0         0          0        
 SM1G4C02A    SEXT          0.2      65.3722     0         -23.6806   0        
 DFT1         DRIF          0.2332   65.6054     0         0          0        
 FM1G4C02A    FTRIM         0.044    65.6494     0         0          0        
 DM2BG4A      DRIF          0.2924   65.9418     0         0          0        
 PM1G4C02A    BPM           0        65.9418     0         0          0        
 DBPM03       DRIF          0.0844   66.0262     0         0          0        
 QM2G4C02A    QUAD          0.282    66.3082     1.22615   0          0        
 DM2CG4A      DRIF          0.184    66.4922     0         0          0        
 SM2G4C02B    SEXT          0.25     66.7422     0         28.6432    0        
 DM2CG4B      DRIF          0.184    66.9262     0         0          0        
 QM2G4C02B    QUAD          0.282    67.2082     1.22615   0          0        
 DM2BG4B      DRIF          0.504    67.7122     0         0          0        
 SM1G4C02B    SEXT          0.2      67.9122     0         -25.946    0        
 DM2AG4B      DRIF          0.26226  68.1745     0         0          0        
 PM1G4C02B    BPM           0        68.1745     0         0          0        
 DBPM04       DRIF          0.08924  68.2637     0         0          0        
 QM1G4C02B    QUAD          0.247    68.5107     -0.812235  0          0        
 DM1EG4B      DRIF          0.1105   68.6212     0         0          0        
 CM1G4C02B    TRIMD         0.3      68.9212     0         0          0        
 GEG4C02B     MARK          0        68.9212     0         0          0        
 GSG5C02B     MARK          0        68.9212     0         0          0        
 DM1DG5B1     DRIF          0.1      69.0212     0         0          0        
 DPWG5B       DRIF          0.2      69.2212     0         0          0        
 DM1CG5B1     DRIF          0.266    69.4872     0         0          0        
 B1G5C02B     DIPOLE        2.62     72.1072     0         0          0.10472  
 GEG5C02B     MARK          0        72.1072     0         0          0        
 DL4BG6B      DRIF          0.2178   72.325      0         0          0        
 GSG6C02B     MARK          0        72.325      0         0          0        
 DL4AG6B      DRIF          0.3732   72.6982     0         0          0        
 QL3G6C02B    QUAD          0.268    72.9662     -1.51868  0          0        
 DBPM05       DRIF          0.07822  73.0444     0         0          0        
 PL2G6C02B    BPM           0        73.0444     0         0          0        
 DL3CG6B      DRIF          0.08778  73.1322     0         0          0        
 SL3G6C02B    SEXT          0.2      73.3322     0         -29.4609   0        
 DL3BG6B      DRIF          0.1575   73.4897     0         0          0        
 CL2G6C02B    TRIMD         0.2      73.6897     0         0          0        
 DL3AG6B      DRIF          0.2021   73.8918     0         0          0        
 QL2G6C02B    QUAD          0.46     74.3518     1.76477   0          0        
 DL2CG6B      DRIF          0.244    74.5958     0         0          0        
 SL2G6C02B    SEXT          0.2      74.7958     0         35.6779    0        
 DL2BG6B      DRIF          0.13125  74.927      0         0          0        
 CL1G6C02B    TRIMD         0.2      75.127      0         0          0        
 DL2AG6B      DRIF          0.13475  75.2618     0         0          0        
 QL1G6C02B    QUAD          0.268    75.5298     -1.61785  0          0        
 DL1AG6B      DRIF          0.0783   75.6081     0         0          0        
 PL1G6C02B    BPM           0        75.6081     0         0          0        
 DBPM06       DRIF          0.0877   75.6958     0         0          0        
 SL1G6C02B    SEXT          0.2      75.8958     0         -13.2716   0        
 GEG6C02B     MARK          0        75.8958     0         0          0        
 GSG1C03A     MARK          0        75.8958     0         0          0        
 DL0BG1A      DRIF          0.44652  76.3423     0         0          0        
 FL1G1C03A    FTRIM         0.044    76.3863     0         0          0        
 DFT2         DRIF          0.051    76.4373     0         0          0        
 DLDK         DRIF          0.095    76.5323     0         0          0        
 DL01G1A      DRIF          2.66348  79.1958     0         0          0        
 DL02G1A      DRIF          2.79768  81.9935     0         0          0        
 DLDK         DRIF          0.095    82.0885     0         0          0        
 DFT2         DRIF          0.051    82.1395     0         0          0        
 FL2G1C03A    FTRIM         0.044    82.1835     0         0          0        
 DL0AG1A      DRIF          0.31232  82.4958     0         0          0        
 GEG1C03A     MARK          0        82.4958     0         0          0        
 GSG2C03A     MARK          0        82.4958     0         0          0        
 SL1G2C03A    SEXT          0.2      82.6958     0         -13.2716   0        
 DL1AG2A      DRIF          0.09     82.7858     0         0          0        
 PL1G2C03A    BPM           0        82.7858     0         0          0        
 DBPM07       DRIF          0.076    82.8618     0         0          0        
 QL1G2C03A    QUAD          0.268    83.1298     -1.61785  0          0        
 DL2AG2A      DRIF          0.13475  83.2645     0         0          0        
 CL1G2C03A    TRIMD         0.2      83.4645     0         0          0        
 DL2BG2A      DRIF          0.13125  83.5958     0         0          0        
 SL2G2C03A    SEXT          0.2      83.7958     0         35.6779    0        
 DL2CG2A      DRIF          0.244    84.0398     0         0          0        
 QL2G2C03A    QUAD          0.46     84.4998     1.76477   0          0        
 DL3AG2A      DRIF          0.2021   84.7019     0         0          0        
 CL2G2C03A    TRIMD         0.2      84.9019     0         0          0        
 DL3BG2A      DRIF          0.1575   85.0594     0         0          0        
 SL3G2C03A    SEXT          0.2      85.2594     0         -29.4609   0        
 DL3CG2A      DRIF          0.09008  85.3495     0         0          0        
 PL2G2C03A    BPM           0        85.3495     0         0          0        
 DBPM08       DRIF          0.07592  85.4254     0         0          0        
 QL3G2C03A    QUAD          0.268    85.6934     -1.51868  0          0        
 DL4AG2A      DRIF          0.5727   86.2661     0         0          0        
 GEG2C03A     MARK          0        86.2661     0         0          0        
 DL4BG3A      DRIF          0.0183   86.2844     0         0          0        
 GSG3C03A     MARK          0        86.2844     0         0          0        
 B1G3C03A     DIPOLE        2.62     88.9044     0         0          0.10472  
 GEG3C03A     MARK          0        88.9044     0         0          0        
 GSG4C03A     MARK          0        88.9044     0         0          0        
 DM1AG4A      DRIF          0.501    89.4054     0         0          0        
 SQMG4C03A    SQ_TRIM       0.2      89.6054     0         0          0        
 DM1BG4A      DRIF          0.2755   89.8809     0         0          0        
 QM1G4C03A    QUAD          0.247    90.1279     -0.812235  0          0        
 DM2A2G4A     DRIF          0.2015   90.3294     0         0          0        
 SM1G4C03A    SEXT          0.2      90.5294     0         -23.6806   0        
 DFT1         DRIF          0.2332   90.7626     0         0          0        
 FM1G4C03A    FTRIM         0.044    90.8066     0         0          0        
 DM2B2G4A     DRIF          0.2924   91.099      0         0          0        
 PM1G4C03A    BPM           0        91.099      0         0          0        
 DBPM09       DRIF          0.0844   91.1834     0         0          0        
 QM2G4C03A    QUAD          0.282    91.4654     1.22615   0          0        
 DM2CG4A      DRIF          0.184    91.6494     0         0          0        
 SM2G4C03B    SEXT          0.25     91.8994     0         28.6432    0        
 DM2CG4B      DRIF          0.184    92.0834     0         0          0        
 QM2G4C03B    QUAD          0.282    92.3654     1.22615   0          0        
 DM2B2G4B     DRIF          0.504    92.8694     0         0          0        
 SM1G4C03B    SEXT          0.2      93.0694     0         -25.946    0        
 DM2A2G4B     DRIF          0.26226  93.3317     0         0          0        
 PM1G4C03B    BPM           0        93.3317     0         0          0        
 DBPM10       DRIF          0.08924  93.4209     0         0          0        
 QM1G4C03B    QUAD          0.247    93.6679     -0.812235  0          0        
 DM1EG4B      DRIF          0.1105   93.7784     0         0          0        
 CM1G4C03B    TRIMD         0.3      94.0784     0         0          0        
 GEG4C03B     MARK          0        94.0784     0         0          0        
 GSG5C03B     MARK          0        94.0784     0         0          0        
 DM1DG5B2     DRIF          0.1      94.1784     0         0          0        
 DPWG5B       DRIF          0.2      94.3784     0         0          0        
 DM1CG5B2     DRIF          0.266    94.6444     0         0          0        
 B1G5C03B     DIPOLE        2.62     97.2644     0         0          0.10472  
 GEG5C03B     MARK          0        97.2644     0         0          0        
 DH4CG6B      DRIF          0.21634  97.4807     0         0          0        
 GSG6C03B     MARK          0        97.4807     0         0          0        
 CH2G6C03B    TRIMD         0.3      97.7807     0         0          0        
 DH4BG6B      DRIF          0.06366  97.8444     0         0          0        
 SH4G6C03B    SEXT          0.2      98.0444     0         -15.8209   0        
 DH4AG6B      DRIF          0.0896   98.134      0         0          0        
 PH2G6C03B    BPM           0        98.134      0         0          0        
 DBPM11       DRIF          0.0764   98.2104     0         0          0        
 QH3G6C03B    QUAD          0.268    98.4784     -1.75355  0          0        
 DH3BG6B      DRIF          0.186    98.6644     0         0          0        
 SH3G6C03B    SEXT          0.2      98.8644     0         -5.85511   0        
 DH3AG6B      DRIF          0.184    99.0484     0         0          0        
 QH2G6C03B    QUAD          0.46     99.5084     1.43673   0          0        
 DH2BG6B      DRIF          0.4785   99.9869     0         0          0        
 CH1G6C03B    TRIMD         0.2      100.187     0         0          0        
 DH2AG6B      DRIF          0.1235   100.31      0         0          0        
 QH1G6C03B    QUAD          0.268    100.578     -0.641957  0          0        
 DH1AG6B      DRIF          0.08059  100.659     0         0          0        
 PH1G6C03B    BPM           0        100.659     0         0          0        
 DBPM12       DRIF          0.08541  100.744     0         0          0        
 SH1G6C03B    SEXT          0.2      100.944     0         19.8329    0        
 GEG6C03B     MARK          0        100.944     0         0          0        
 GSG1C04A     MARK          0        100.944     0         0          0        
 DH2G1A       DRIF          0.4409   101.385     0         0          0        
 FH1G1C04A    FTRIM         0.044    101.429     0         0          0        
 DH01G1A      DRIF          4.1651   105.594     0         0          0        
 DH02G1A      DRIF          4.29379  109.888     0         0          0        
 FH2G1C04A    FTRIM         0.044    109.932     0         0          0        
 DH1G1A       DRIF          0.31221  110.244     0         0          0        
 GEG1C04A     MARK          0        110.244     0         0          0        
 GSG2C04A     MARK          0        110.244     0         0          0        
 SH1G2C04A    SEXT          0.2      110.444     0         19.8329    0        
 DH1AG2A      DRIF          0.085    110.529     0         0          0        
 PH1G2C04A    BPM           0        110.529     0         0          0        
 DBPM01       DRIF          0.081    110.61      0         0          0        
 QH1G2C04A    QUAD          0.268    110.878     -0.641957  0          0        
 DH2AG2A      DRIF          0.1485   111.027     0         0          0        
 SQHG2C04A    SQ_TRIM       0.2      111.227     0         0          0        
 DH2BG2A      DRIF          0.4535   111.68      0         0          0        
 QH2G2C04A    QUAD          0.46     112.14      1.43673   0          0        
 DH3AG2A      DRIF          0.184    112.324     0         0          0        
 SH3G2C04A    SEXT          0.2      112.524     0         -5.85511   0        
 DH3BG2A      DRIF          0.186    112.71      0         0          0        
 QH3G2C04A    QUAD          0.268    112.978     -1.75355  0          0        
 DH4AG2A      DRIF          0.07602  113.054     0         0          0        
 PH2G2C04A    BPM           0        113.054     0         0          0        
 DBPM02       DRIF          0.08998  113.144     0         0          0        
 SH4G2C04A    SEXT          0.2      113.344     0         -15.8209   0        
 DH4BG2A      DRIF          0.2485   113.593     0         0          0        
 CH2G2C04A    TRIMD         0.3      113.893     0         0          0        
 GEG2C04A     MARK          0        113.893     0         0          0        
 DH4CG3A      DRIF          0.0315   113.924     0         0          0        
 GSG3C04A     MARK          0        113.924     0         0          0        
 B1G3C04A     DIPOLE        2.62     116.544     0         0          0.10472  
 GEG3C04A     MARK          0        116.544     0         0          0        
 GSG4C04A     MARK          0        116.544     0         0          0        
